Ayssi comensan las paraulas de Albucasim .	"Thus begins the words of Albucasis."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	"Oh, sons, since I have completed for you this book, which is the last of the science of medicine, to fulfill its end and because of its explanations and declarations, it seems to me that I complete it for you with this treatise, which deals with surgery by hand."
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery by hand has become completely private in our region and time, so that few people know about this science, and its traces are obscured; there would remain of it only some small descriptions in the books of the Ancients, which have changed hands and been lost due to error and confusion, such that their intentions are closed off and its strength is diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive this with an orderly arrangement of this treatise according to the ways of exposition and declaration and abbreviation; and that I should include representations of the forms of cautery instruments and other tools used in the work, both as additions to the explanation and preparation for its use, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why there is not a good craftsman with his hand in our time is because the art of medicine is long, and its practitioner must be exercised beforehand in the science of anatomy, which Galen knew well so that he might know the arrangement of the limbs and their forms, conjunctions, separations, knowledge of bones, nerves, tendons, their numbers, arrangement, pulse veins and tranquil ones, and the locations of their outlets.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore says Hippocrates that with a small work, but more in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about that in the introduction of this book; for whoever is not knowledgeable about what we have said about anatomy will certainly fall into error, causing many deaths, as I have seen too often, because some are formed in this science but depart from it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and inexperienced doctor incision an escrofulous boil on the neck of a woman, and cut some arteries in the neck so that much blood flowed out, causing the woman to die suddenly.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who tried to remove a stone from the bladder of a man who was in that condition, and the stone was large; he came to him and removed that stone with a piece of the bladder, causing that man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I already knew that it would be impossible to remove it, and I saw that because of the size of the stone and the condition of the illness, I knew beforehand that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received a salary of one ducat from our land for surgery, and he undertook to treat a blacksmith who had a fracture in his hip; with great ignorance, the doctor prepared himself, removed the fracture above the wound with pillows and splints with strong tension, not allowing any space for breathing.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he bound it according to his desires, and applied ligatures, and then released them after some days, commanding that the bandages be loosened. And so it was until the hip and thigh became gangrenous, resulting in loss of limb.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared myself to untie the ligatures, and thus peace and ease were obtained, and his pains diminished.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But nevertheless the corruption was already confirmed in the limb, so that I could not prevent it, and the corruption continued to spread throughout the limb until the patient was in danger of losing his life.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous boil, and it became ulcerated after several days, causing the illness to worsen for the patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cancerous boil is caused by black bile, therefore it should not be burned with iron of any kind, but rather cauterized on the member that suffers from it.
