Ayssi comensan las paraulas de Albucasim .	"Thus begins the words of Albucasis."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	"Oh, sons, since I have fulfilled this book for you, which is the last of the science of medicine, and by its completion it has reached its end, and by its explanations and declarations, it seems to me that I complete it for you with this treatise, which concerns the operation with my hand, that is surgery."
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with my hand is despised in our region and in our times has been completely abandoned, so that the science of it has become rare, its traces have disappeared; and nothing remains of it except a few small descriptions in the books of the Ancients, which have changed their hands and have deviated from those errors and hesitations so that they are closed off to their intentions and the strength of it is elongated and weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	"And it seems to me that I revive this one with an arrangement of this treatise according to the way of explanation and declaration and abbreviation; and also with forms of cautery tools and other instruments necessary for the work, which is added in the declaration, and by preparation for it, which is necessary."
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	"However, the reason why there is no good artisan with their hands in our time is because the art of medicine is long and its performer should be well-trained beforehand in the science of anatomy, which contains knowledge of the joints of the limbs and their shapes, conjunction, separation of them; and has the knowledge of bones, nerves, and arteries, their number, arrangement, pulsating veins and quiet ones, and places for their discharge."
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	"And therefore Hippocrates said that in the name of U is the cause, but little in the work, especially in the art of the hand."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	"But we have already said about this at the beginning of this book; for whoever is not knowledgeable about what we have said about anatomy will certainly fall into error and cause many deaths, as I have seen too many times, because some are trained in this science but cast themselves away from it without knowledge or experience."
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	"For I saw a foolish and inexperienced doctor incise an escrofulous abscess on the neck of a woman and cut some arteries in her neck so that much blood flowed, causing the woman to die suddenly among the masses."
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	"And I saw another doctor who took upon himself to remove a stone from a man who had fallen into that state, and the stone was large; but he came to him and removed that stone along with a piece of the bladder, so that that man died on the third day."
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	"And I had already appealed to him to leave it alone, and I saw that because of the size of the stone and the disposition of the illness, I knew for sure that he would die."
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	"And I saw another doctor who received payment of one ducat from our land for surgery; and he undertook to treat a blacksmith who had a fracture in his hip. And the doctor prepared with his ignorance, removed the fracture on top of the hip bone with pulleys and screws with great force, and did not leave room for respiration."
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	"And he finally released him according to his desires and removed the splint, and also removed the bandage after some days and commanded that we release the ligature; but he did it in such a way that the hip bone became inflamed, causing damage."
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	"And I was called to him and prepared to release the ligature, and thus tranquility came about with the alleviation of his pains."
