Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuçasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons and daughters, I have completed this book for you, which is the last of the science of medicine; its completion has been achieved through it, and through its explanations and declarations, I consider that you will be able to understand this treatise, which begins with surgical operations.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The art of surgery is almost completely unknown in our region and in our time, to the point that its practice is considered a risk, and its signs are obscured; and only a few small descriptions remain in the books of the Ancients, which have been altered and filled with errors and inaccuracies, since the intentions of the art are obscure and its power has waned.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is clear to me that you have brought back to life the ancient order of this treatise through a second way of exposition and declaration and abbreviation; and for what reason did the forms of cauterizing instruments and other tools of the trade come with it, as an addition to the declaration, and in preparation for its use, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why one skilled craftsman is not found with their own hands in our time is that the art of medicine is long and complex, and its practitioner must be exercised in the science of anatomy, which Galen understood so well when he knew the joints of the limbs and their forms, and the conjunction and separation of them; and the knowledge of bones, nerves, and ligaments, and their numbers, and the arrangement of them; and the pulsating and quiet veins, and the places from which they originate.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so says Hippocrates that with a name is a concept, but in the smallest of works, and most certainly in the art of one's hands. (This phrase suggests that true understanding and expertise come from practical experience and skill, rather than just theoretical knowledge or terminology.)
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of that in the introduction to this book; for one who is not knowledgeable about anatomy will not be spared from falling into error by which men perish, just as I have seen many do so, because some are trained in this science and depart from it without science or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because I have seen a foolish and inexperienced doctor who had caused an abscess of the scrotum to burst in a woman's groin, and he had cut into several arteries there, so that the woman bled to death.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have also seen another doctor who treated an arrow wound in a man's body, where the arrow had gone deep into his flesh, and it was large and complicated, and he went to him and removed that part of the viscera that was affected by the arrow, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already said to flee from there, and I saw that due to the size of the wound and the condition of the patient, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have also seen another doctor who was receiving payment from a duke of our land for surgery, and he attempted to treat a severe fracture on the back of a blacksmith, who was his own servant. And because of his ignorance, the doctor removed the splint from the fracture, causing great pain and constriction with forceps and awls, and not leaving any space for breathing in the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he did not set the bone properly, but rather pulled the splint apart as desired by his patient, and he bound it tightly with bandages, and ordered us to leave it like that for some days, and commanded us to remove the splint, so that the back and hip were badly inflamed and became purulent.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I proceeded to loosen the bandage, and the patient finally became calm and his pains were alleviated.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But by then corruption was already confirmed in the member, so that I could not stop it, and the corruption continued to spread in the limb until the patient fell ill.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have also seen another doctor who pierced a cancerous abscess, and it became ulcerated in just a few days, while the malice of the doctor was magnified towards his lord. (Note: "lo senyor" can be translated to "his lord", but in this context, it's likely referring to a noble or aristocratic patron, possibly with whom the doctor had some kind of relationship or obligation.)
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cancerous abscess is pure evil, and it's not necessary to cut into it with every tool, but rather to let the member that suffered from it be completely healed. (This phrase suggests that sometimes, less intervention is better, and that the body has its own natural ways of healing itself.)
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, my sons, it is necessary for you to understand that the operation with me is divided into two parts: one is an operation associated with health, and the other is a work in which there is danger in the greatest circumstances.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And now I have existed this passage throughout this entire book in which an operation is described where there is error and fear; therefore it is necessary for you to guard this and omit that, so that the pages do not become confused and you are not misled.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take up your arms with confidence and protection of God, and your patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method for the sake of God's grace to bring about health and blessed success, and overcome terrible diseases that are difficult to cure, and lay down your arms from them so that they do not cause you fear, so that situation remains in your faith and in your name does not flee from you: because it will remain more in your glory, and even more so in the world and finally to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Walia I think that is a typo or error in the text, but I'll try to translate it:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat a sick person worse, for fear that bad doctors will not be known."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have already sewn up this book according to three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	"Begin the division of the book, and first of the first parting."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter ordered from the head to the feet, in the forms of instruments and in the ironwork of cauterizers, and thereafter what is necessary in the operation."
La divisio de la segonda partida.	"The division of the second parting."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter, of scissoring and perforating, and of poultices, and of extracting arrows and similar things to those, all capitulated and ordered in the forms of instruments."
Divisio de la tersa partida.	"Division of the third part."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The fourth chapter, of setting and dislocation, and of curing twisting and similar things to those; chapter ordered from the head to the feet, and in the forms of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"Of cauteries with fire and with acute medicine and recollection of the operation."
Am aquel comensa le tractat de tot le libre.	At this point in the treatment of this patient, the procedure for the entire book begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Notice that these two sentences are similar in structure to the first one. They seem to be a series of instructions or observations related to a medical treatment. Here's my attempt at translating them:
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	The speech about the quality of cauterization and its application is long and prolix, and subtle with knowledge, and secret hidden; and many wise men have spoken about it, and disagreed among themselves, and I fear prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cauterization comforts the entire universal complexion of matter or its matter, except for two complexions, which are complexions of tails without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the dry and hot complexion without matter, the humors would desiccate; because some said that cauterization is a remedy for it, and others said the opposite of this, that cauterization is not suitable in the illness which is due to quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that a hot and dry disease be cured by heat and dryness.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that he who says the opposite of this is mistaken, that by cauterization one makes an amendment in all hot and dry diseases that are found in the bodies of men, because when you compare the body of a man and his humors to the complexion of fire, you find that the body of a man is cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	I have often experimented with this method on my own several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But it's not enough that I have had experience with this method on myself several times; rather, I wish the one who is now being operated on to be someone who has already been experimented with and practiced in the capital city for the last exercise, and has come to know the diversity of human constitutions and the arrangement of illnesses within themselves, and the causes of those, and the accidents that befall them, and the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other constitutions it is not a matter of fear, and above all in the humid and cold illnesses, because all physicians have agreed on these, and are not discordant in the judgment about using cautery in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And I know, sons, that from the secret of healing with cautery by fire and its goodness, it is not contrary to medicine when applied to cautery, because fire is simple, the action of which reaches only to the member being cauterized and does no harm to another member nearby except a little.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of contrariety medicine reaches as far as to the member that is distant from it, and very quickly causes a difficult-to-cure illness in the sick member, and soon enough hurts.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its sublimity and the goodness of its substance, does not cause water, but only what is superfluous. And already it has been known to us through experience and the length of service in studying the art on the truth of causes; and for this reason I excuse myself from the length of the sermon. And if it were not that it is not allowed me freely in this pausebook to tell you a secret hidden in fire, and the quality of its operation within bodies and of its expulsion by which you expel illnesses, with a philosophical sermon demonstrative, which would serve to quicken in your souls.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And I know, sons, that they do not agree on the time in which it is convenient to perform cautery and what is the better time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, because the harm caused by time's accident is submerged in the juice of water that comes with the cautery, and especially if the cautery is for necessary, sharp, and painful pains, which do not suffer delay because they are feared to come from malice, which is greater than little harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And I say that it is not so in your souls, or sons, this does not estimate but the common people and foolish doctors, so it is that with that illness which is cured by cautery, there is no reduction of time, and pause from its consequences. (Translation note: The original text seems to imply a contrast between the speaker's opinion and that of "the common people" or "foolish doctors", suggesting that the speaker believes cautery can be effective at any time, while others may think it should only be used in certain situations.)
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not at all as they think it to be, for cautery is nothing but a change of medicine that alters the complexion and dries out the humors which are the cause why pains come. (Note: The concept of "humors" refers to an ancient medical theory that proposed that the body contained four fluid-like substances - blood, phlegm, yellow bile, and black bile - which needed to be kept in balance for good health.)
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But meanwhile, cautery is added unnecessarily over the medicine by reason of its utility and virtue in the operation and greatness of its lord. (Note: Here "lord" refers to a medical substance or treatment that is considered superior or more effective.)
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the patient's illness returns at some point in time, according to the complexity of the patient and the location of their illness, and the virtue of them, and what is prepared in their body from the aggregation of superfluities in them, and what has reached them in their acquisition of food and drinks similar to those causes; but if the illness in which cauterization is administered is a subtle illness in a few superfluities and moistures, such as tooth cauterization for pain and things like it, it is possible that in him that pain will not return, but rather it is done in small measures.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And in plain speech it is that cauterization is the last remedy of medicine, and it's a very serious statement, not because I understand what it means in him, because I think it's no cure that profits by medicine nor by any other cause close to cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	Y la causa es lo contrario; y entiendo que la cauterización es el último recurso de medicina no es sino cuando administramos las maneras de curación en algunas enfermedades, y esas medicinas no surten efecto, y cerca al final de la causa administramos la cauterización, y a ella se aprovecha.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And now from here onwards the use of cautery is the last remedy in medicine, as I understand it, which is the opinion of common people and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that gold cautery is better than iron cautery, and they did not say this just because of the equality of both but also due to the nobility of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place where you apply cautery does not matter, since it is not absolutely true, because I have already proven and attested that it only works in certain bodies and not in others, and gold cautery is good and better than iron, as they said; however, when you do cautery with fire on gold, it's not to be declared, because it depends on the quantity of gold desired due to its density, and it prepares to receive the blow; and if you adjust over it ignic powder so that the gold melts in the fire, and it forms some plates which the craftsman can collect for his occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, the cautery with iron should be made by us in such a way that it is slightly lighter and more precisely directed towards the correct procedure.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cautery in the order of chapters, and I have ordered those related to it under the heading of weights, so that the customer may find what he wants from them.
De cauteri de dolor de cap per frigiditat e humiditat.	On Cautery for Headache due to Frigidity and Humidity.
Le capitol primier.	The principal or main chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization gives relief from humidity and coldness to the injured part of which there are two causes, one cause of heat and multitude of traumatic flux, called hemorrhage, from the head to the exits of the eyes and ears flowing, multitude of sleep, and tooth pain and gout, and universally all illness that comes from coldness, thus as paralysis, fever, and apoplexy, and similar in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first you command the patient to be evacuated with purging medicine the head being marked for three or four nights, according to the virtue of the patient and their age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then you command him to shave his head with a razor, and afterwards make him sit between your thighs on a chair or bench, and have him put his hands on the soles of his own feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then you place your hand with the palm open, next to the nostrils between his eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But when the middle part is reached, as you said, mark that place with a tent and then light the olive cauter (which has this form...).
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And place that on the location to be treated in such a manner that it descends, with its handle being constrained little by little, and you will rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And place your hand lightly and look at the location, and if you see already some of the bone being uncovered, as much as a grain of barley, then lift your hand, and if not, return your hand to that iron, but another one, if it's cold, until you see the bone I told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And take some salt and dissolve it over the location and let it be for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And place on it a piece of cloth soaked in vinegar and let it be until the scab of the burn is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And cure the location with quadruple-action ointment until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it's already said that the more a burn opens up (or "roams"), the better and more quickly it will heal.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that one of them, who had been cauterized the tongue up to the bone, and held the cautery until it was hot enough to burn a part of the cartilage of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then be scraped off what is attached to the bone, and then be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others would say that with the cautery one should penetrate to the bone in such a way that it pierces into the strong part of the bone before it breaks out on the other side, and this is the form of a small incision.
E estiman de aquel loc expiran la vapors del cap.	And they think that the vapors from the head will escape there.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound is left open for a long time, and not closed until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have never seen these two kinds of cauterization in any man, except by way of fear; and it leaves one to believe that my health is better off as it is, for the head is weakened by solution of continuity from this kind just as we have testified with other members, and most particularly when the patient has a fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cauterization is even more saved and better for me, and from that I have a healthy outcome and from this work I have good health.
Capitol segon.	Capítulo segundo.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When a chronic and long-lasting pain occurs in the entire head of the patient, and it persists even after using various remedies such as garlands, poultices, capillaries, ointments, guaiazulene, candles, quail eggs, and similar treatments, and especially if the head has already been cauterized with a cautery that did not bring relief to the patient for any of these causes, then one should consider whether the patient's head is prone to excessive blood flow in its nature; and if it is, they would cauterize again with another cautery slightly below the first one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that spot on the crown of his head with a cautery, so that the incision in his tongue is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tongue and let it be exposed to the bone so that we can see the quantity of it which we have counted, and then cauterize that spot with a cautery in the posterior part of the head where the "vas" is located, - that is, the place where the wind pipe rests.
