Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuçasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, now I have completed this book for you, which is the last of medical knowledge, and its completion has led to its purpose being fulfilled, through its explanations and declarations, it seems to me that you are capable enough to learn this treatise, which is divided into surgery from my hand.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since surgery from my hand is almost unknown in our region and in our time, so that the practice of it is fraught with peril, and its footprint is rare; and there will remain of it only a few little descriptions in the books of the Ancients, which have been corrupted and deviated into error and obscurity, since their intentions are unclear and its force has waned and its art has grown old.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you have brought life to that old order of this treatise through the second way of exposition and declaration and abbreviation; and so that you could describe the forms of the cauterizing instruments and other tools of the craft in addition to the declaration, and for their preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why there is not a skilled craftsman from his own hand in our time is that the art of medicine is long and complex, and its practitioner must be exercised in the science of anatomy, which knows how to dissect the members and their forms, and their conjunction and separation; and have knowledge of the bones, nerves, and sinews, and their number and origin; and of the pulsating veins and quiet ones, and the locations of their outflow.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates says that "the name is a mere sound, but the work is small, and greatest in the art of one's hand".
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of him in the introduction to this book; for he who is not knowledgeable about anatomy, as I have told you, will be unable to avoid falling into error through which men die, just as I have seen many of them, since some are formed in this science and depart from it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish doctor who had caused an abscess to form in the neck of a woman, and he had cut into several arteries there so that a great deal of blood flowed out, and as a result the woman died.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I also saw another doctor who operated on a man in his state, and the abscess was large, and he came to him and extracted that abscess with a piece of the intestine, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already warned you to be cautious about this, and I saw that because of the size of the abscess and the condition of the patient it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I also saw another doctor who was receiving stipends from a duke in our land for surgery, and he operated on a crippled beggar who had a fracture to the ribcage of his back; and because of the doctor's ignorance, he extracted the fracture over the wound, with pincers and splints applied with great force, and did not allow the wound any breath.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he then applied the dressing, and reapplied the ligature, and reapplied the stitches for some days, commanding us to remove the ligature; and thus it was that the ribcage and the bone beneath were infected with an abscess, and as a result the man's condition worsened.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I came to relieve the ligature, and thanks to this, his condition became tranquil and he was freed from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however, the corruption was already confirmed in the limb, so I could not hold it back, and the corruption continued to spread through the member until the patient came close to death.
