Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuqasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, since I have completed this book for you, which is the last part of the science of medicine, and its completion has achieved its purpose in me, and through its explanations and declarations, it seems to me that you should take care to keep this treatise, which was divided from surgery with me.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery with me is so rare in our region and in our time, that it has almost lost its science, and its practice is forgotten; and there remain from it only some little descriptions in the books of the Ancients, which have been changed much and added to those errors and conjectures that were hidden among their intentions, and its force and art have been stretched out.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you have brought the practice of this treatise back to life with its orderly arrangement, according to the way of exposition and declaration and abbreviation; and so that the forms of cauterizing instruments and other tools of the craft may be added thereto, and prepared for use, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no skilled craftsman in their own hand is found in our time is that the art of medicine is long and requires its practitioner to be exercised in the science of anatomy, which Guillaume knew well in so far as he understood the joints of the members and their forms, and the connection and separation of them; and had knowledge of the bones, nerves, and ligaments, and their number, and the arrangement of them; and the pulsating veins and the quiet ones, and the places of their effluence.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason says Hippocrates that in a short name there is great thought, especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of this in the introduction to this book; for whoever is not knowledgeable about anatomy will be led into error by which men will die, just as I have seen many of them, for some are trained in this science and yet leave it for another science and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you saw a foolish surgeon who had attempted to excise an abscess on the neck of a woman and had cut into some arteries in the neck, causing much blood to flow before the woman died.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who had operated on a man in his estate, and the stone was large, and had come to him and taken that stone out with a piece of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already predicted that he would flee away from there, and I saw that due to the size of the stone and the condition of the patient, it was evident that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was receiving payment from the Duke of our land for surgery, and he undertook to treat a blacksmith whose leg was fractured. And due to his ignorance, he removed the splinter from the fracture, put plasters and sticks with great tension on top of the wound, and did not allow it to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And bind the ligaments separately, according to their desires, and reapply the dressing, and leave it loose for some days and command that we loosen the bandage; and thus it should be that the space and the flesh were originally attached, and come back to their proper condition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared myself to loosen the bandage, and he obtained his calmness and began to be less troubled by his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however the corruption was already confirmed in the member, so that I could not hold it back, and the corruption did not stop roaming in the member until the patient became perilous.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who pierced an infected cancerous swelling, and it was ulcerated within some days, until the wickedness of him and his lord were magnified.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because the black dog (a metaphor for melancholy or evil) is pure in its humor, and it's not necessary that it should be cured with every kind of iron (i.e., medical treatment), but rather it should be left as a member which suffers from being tormented.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, sons, it is necessary that the operation be divided into two parts: one in which health is associated with him, and another work in which danger is present in great dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already said this in every place of this book where the operation is one in which there is error and fear; for it is necessary that you guard against this and leave those who are not worthy, so that the leaves may not be troubled to speak and to dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your arms with supplication and protection of God, and your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best means for the sake of God to attain salvation and glorious success, and drive out the terrible illnesses with difficult cure, and stop using those weapons from which you fear, so that your situation in your faith and in your name does not escape: because it remains more to your glory, and also in the world and finally to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	I recognize some of these phrases as being similar to Old Catalan, a Romance language that was spoken in Catalonia (a region in northeastern Spain) from the 10th to the 15th centuries.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat a bad illness badly, lest you be considered a foolish doctor."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have already read this book according to three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the book, and first part of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by the head of surgery, on the shapes of instruments and in the ironworks of cauteries, and from then on what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on dryness and perforation, and on poultices, and on blisters, and on the extraction of arrows and similar things, all chaptered and ordered in the shapes of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The fourth chapter, of restoration and of dislocation, and of cure of twisting and similar things; chapter ordered by the head of surgery, and in the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of burning cauteries with fire and sharp medicines for acute conditions and recall of the surgical procedure.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The quality of the joints formed by this cautery and its scars, and in what condition is cautery prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the discourse about the quality of the joints formed by cautery and its scars is long and prolix, subtle for knowledge, and secretly hidden; and already many wise men have spoken of it, and they are in disagreement among themselves, and I am afraid of prolonging it further.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cautery agrees universally with all conditions of matter or its material, except for two conditions, which are scorching states without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the hot and dry condition with no material there will be desiccation; for some have said that cautery is beneficial in this case, while others say the opposite, that cautery is not suitable in a disease which is of quality and dryness, because the nature of fire is quality and dryness, and it is inappropriate that a hot and dry condition with water should be healed by something that is also hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I reply to him who said the opposite, that by cautery is made a good joint in all hot and dry diseases that are found in the bodies of men, for when you compare the body of man and its humors with the condition of fire, you find the body of man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of him, that through experience I have already many times discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	When however it is not necessary that the one who has already been experienced and exercised in the capital of cauterization by a final exercise, and who knows the diversity of human complexion and the disposition of illnesses in their own persons, and the causes of those, and their accidents, and the space of time of those, should come upon this.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However in other complexions it is not to be feared, and most especially in the humid and wet illnesses, because all doctors are already agreed on these, and there is no discord among them about judgment by cauterization in these.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, sons, that from the secret of healing by cauterization with fire and from its goodness, it is on cauterization that medicine counteracts, because fire is simple, whose action reaches only the member which is cauterized and does not harm another member placed nearby, except for a small damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	However, the action of counteracting medicine reaches as far as those members which are distant from it, and it quickly brings a difficult-to-cure illness to the affected member, and it does so swiftly.
