Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Here is my translation of the provided text:
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation is performed with the hand and is completely neglected in our region and time, while its science is strong but has little value, and only some small descriptions of it remain in the books of the ancients which are mostly wrong and lead to hesitation since his intentions are obscured and his strength and art are lost.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It is evident to me that I should vitalize this treatise with a new order and arrangement according to the method of exposition, explanation, and abridgment; and also by providing illustrations of cautery instruments as well as other tools for the procedure both through addition and clarification in preparation which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why there is a lack of skilled practitioners in our time is that the art of medicine is extensive and requires an understanding of anatomy before one can be proficient at it. This includes knowledge of the joints, their movements, and connections as well as separations; also the bones, nerves, tendons, their numbers, and exits; veins that pulse and ones that are still; and locations where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so Hippocrates says that the name is short but the work extensive, especially in the art of manual surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for those who are not aware of what we have discussed regarding anatomy, they may fall into error, which has led to the deaths of many, as I have witnessed. These individuals may be knowledgeable in one field but lack practical experience and scientific understanding.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I once saw an inexperienced and foolish doctor make a mistake by incisiong an abscess with scrofula in the neck of a woman, he cut into some arteries in the neck causing a great flow of blood, which resulted in the woman's death while her maids held her.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I witnessed another doctor who was about to remove a stone from a man's bladder, the stone was large and when he extracted it along with part of the bladder, the man died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I have personally encountered such situations when asked to extract stones and knew that due to the size of the stone and the patient's condition, they would not survive.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I observed another surgeon, who was paid by a duke in our land, operate on a castrated black man with a fracture in his hip. Due to the surgeon's ignorance, he extracted the fractured bone directly over the wound, using powders and splints with excessive force, not allowing any ventilation to the wound.
