Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, my children, since I have completed this book for you, which is the final work on the science of medicine, achieving its goal at the end, and through its explanations and declarations, it seems to me that I should complement [it] with a treatise about manual practice, which is called surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because manual practice is neglected in our region and in our time, to the point where it barely exists, and its knowledge and remnants are suppressed; what remains of it can only be found as a few small descriptions in the books of the Ancients, which most people have distorted, leading them into error and uncertainty while their understanding is obscured and their skill and art degenerate.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems necessary to me that I should revive it through the method of explanation and clarification, as well as by describing its tools in detail; both those used for cauterization and other instruments required for such work - this is needed so that people may understand these implements' shapes and forms, as part of the preparatory process.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why we lack good medical practitioners in our time is that the art of medicine demands a broad knowledge base: its practitioner must first be well-versed in anatomy, which encompasses an understanding of bodily structures and their functions; how various parts are connected or separated from one another; as well as an awareness about bones, nerves, tendons - their numbers and arrangements - along with veins (both pulsating and static), and the locations where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates says that it has a great name but small impact in practice, especially in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for whoever is not aware of what we have said about anatomy will not be relieved from falling into error, which has caused the deaths of many people, just as I have witnessed with those who are educated in this science but disregard both their knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a foolish and inexperienced doctor make an incision on the neck of a woman to drain a swollen abscess; he cut some arteries in her neck, causing great bleeding until she died from his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I saw another doctor who was about to make an incision on the stomach of a man suffering from stones in his bladder; the stone was big, but he made the incision and extracted it with a piece of the bladder, causing that man's death three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I was once called to extract one of those stones and I saw that due to the size of the stone and the condition of the patient, I knew he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here is my translation of the provided text: 
