Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim .
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, since I have completed this book for you, which is the last of the science of medicine, through its completion and for its explanations and declarations, it seems to me that I should complete that part of the operation with your hands, which is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation with hands is neglected in our region and in our time, to such an extent that it endangers the science of medicine itself, and its vestiges are suppressed; there remain only a few brief descriptions in the books of the Ancients, which have been distorted and lead those who follow them into error and hesitation, while their minds are closed off and the strength and art of surgery is stretched out.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems to me that I should revive it by the arrangement of this treatise in accordance with the method of exposition and explanation and abridgment; and also for the forms of cautery irons and other instruments of operation as well as for their use, through the addition of explanation, and preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why a good artisan is not found with his hand in these our times is because the art of medicine is long, and its practitioner must first be exercised in the science of anatomy which considers the joints of the limbs and their forms, and the connection and disconnection of those; and have knowledge of the bones, nerves, and sinews, as well as their number and course; and of the pulsing and quiet veins, and the places for their exit.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And Hippocrates says that it has a great name, but little effect in practice, and especially in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for one who is ignorant of what we have said about anatomy cannot be excused if he falls into error and thereby causes the death of a man, as I myself have seen happen to many such individuals, because some are educated in this science but neglect their knowledge and practice.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a foolish and inexperienced doctor make an incision into a scrofulous abscess on the neck of a woman, and he cut some arteries in the neck, causing so much blood to flow that the woman died between her sheets.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I saw another doctor who was about to remove a stone from a man's bladder, which had caused him great pain; and he brought it out by cutting open the bladder, but this led to the man's death three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I have already been called upon to remove such a stone and saw that due to the size of the stone and the condition of the patient, I knew he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here is the translation of the provided text: 
