Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, since I have completed this book for you, which is the last part of the science of medicine, to fulfill its purpose and end in completion, and with its explanations and clarifications, it seems appropriate to me that I present to you this treatise, which is a branch of manual operation or surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	As manual operation or surgery is neglected in our region and time, to the point of being entirely forgotten, while the science behind it remains obscure and unexplored; only a few brief descriptions remain in the books of the Ancients, which have been misinterpreted by many leading to error and hesitation as their understanding is limited and its power and art are lost.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It is apparent to me that I must revive this art through the organization of this treatise, following a path of explanation and clarification while employing concision; incorporating illustrations of cautery tools and other instruments necessary for the operation both in addition to explanations as well as preparation details which are essential prerequisites. 
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why we lack skilled practitioners in this art during our time is that the practice of medicine demands extensive knowledge and experience. The practitioner must be well-versed in anatomy, understanding the joints, their shapes, how they connect and separate, and possessing awareness of bones, nerves, tendons, their quantities, orientations, along with veins, both pulsing and still, and their exit points.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates says that it has a great name but little practical use, especially in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for whoever is ignorant of what we have said about anatomy is not excused if they fall into error and cause the death of patients, as I have seen happen to many such people, who are trained in this science but abandon both their knowledge and practical experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a foolish and inexperienced doctor make an incision on the neck of a woman to drain a scirrhous abscess, and in doing so he cut some arteries in the neck, allowing a great flow of blood until the woman died under his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I saw another doctor about to extract a stone from the bladder of a man who was suffering from this condition, and the stone was quite large; but before he could do so, the patient died, and they had to remove the stone along with part of his bladder, which caused his death three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I have already been called upon to extract such stones myself and I can tell you that when faced with a large stone and an unfavourable disposition of the patient, I knew that they would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here is my best attempt at translating the provided text: 
