Ayssi comensan las paraulas de Albucasim .	 When joints are afflicted by cold humors, each part of the body will be affected.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 O brothers, please complete this free book, which is the last of science in medicine, for its completion and to be completed with it; and by its explanations, declarations, and promises, I ask you to read through that tract, as surgery may be done
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 The operation is considered to be closed within our region and time of all private things, except that it is very cold in science; and the sight of it remains with us. And do not mention anything but a few descriptions in the ancient writings, which will make those errors disappear and their truth become apparent through these reasons for its duration and use
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 I ask you to make the interpretation of that tract in its second way by exposition and declaration and summary; and so on the forms of cautery tools and other instruments for the work may be added with a statement, and for preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 The cause for which it is difficult to find a good artist in our times is that the art of medicine has become long and that because its practitioners know so little about anatomy compared to what they are taught; and have also been studied on the bones, nerves, and vessels, their number, and the excisions or separations between them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 This first sentence seems to be a medical instruction regarding how to administer a specific remedy or treatment for someone with gout. Here's my best guess at the translation: "By means of this procedure known as Ypocras, which in essence is gentle but also in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 This sentence seems to be a continuation of the previous one and provides further details about using Ypocras for treatment. Here's my best translation: "Firstly, we must enter into this free space; who does not know anatomy is excluded from being treated, lest they fall into error with which men will die, as has often been seen by those of whom science in this matter and its experiments are made.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 This sentence seems to be a warning or caution about using Ypocras improperly in the context of medical treatment for gout. Here's my best translation: "A doctor, when he has inserted an esophilium into the vagina of a woman and finds some arteries within it that are flowing with great force towards her death between many.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 This sentence seems to be the continuation of previous instructions regarding using Ypocras for treatment and its consequences if used improperly or excessively. Here's my best translation: "Another doctor ordered a poultice from a man who had been in his condition, but it was great, and applied it on him, and covered it with some of the bladder, so that this man on the third day died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 This sentence seems to be further instruction regarding using Ypocras excessively and the consequence of doing so. Here's my best translation: "You have already called for fear, and you saw that because of the greatness of the poultice and the disposition of the patient who would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 When another doctor was consulted by the patient's brother-in-law from our land for surgery and he also consulted with black knight who had already fractured his arm in that area; and after having examined the fracture the doctor blamed ignorance of the patient, caused the fracture to remain open, over the wounds on the chest, back, belly and abdomen, without healing it.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 According to their desires, I will follow your commands, and every day I'll visit them both until the fracture heals completely and they are cured of pain.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 He appealed to you, I will follow your commands, and by following the treatment given to me I was able to achieve tranquility and eliminate their pain completely.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 Although the corruption had been confirmed in that member and could not be prevented from continuing with it, they still tried to remove the corruption from the member until the patient was cured.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 When another doctor examined him and found an ulcer that had been there for many days, he blamed the malice of the patient's lord on this illness
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 The cause for the gout is the melancholic humors, and although it hurts all parts of their body except one that suffered from everything becoming inflamed.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 For this, ladies and gentlemen, it is necessary for you to perform the operation in two stages: one where healing is expected, and another where there are risks of major consequences
