Ayssi comensan las paraulas de Albucasim .	 "Thus begin the words of Avicenna.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 "Oh, children, since I have completed this book for you, which is the last in the science of medicine, and its completion is fulfilled within it, and through its expositions and explanations, it is clear to me that I must complete it with this treatise, which is a division of the operation by hand, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 "Because the operation by hand has been abandoned in our region and in our time, to the point where its science is greatly diminished, and its traces have disappeared; and nothing remains of it except a few small descriptions in the books of the Ancients, which were altered by most and led astray by those errors and obscurity until their intentions are closed and their power and art are prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 "And it is clear to me that I should revive it with the arrangement of this treatise according to the way of exposition and explanation and abbreviation; and so that it may come with the forms of the cautery tools and other instruments of the work as it is by addition of the explanation, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 "But the reason why a skilled artisan with his hand cannot be found in this our time is that the art of medicine is long and its practitioner must first be trained in the science of anatomy, which includes knowledge of the joints of the members and their shapes, as well as their union and separation; and he should have knowledge of the bones, nerves, and sinews, their number and arrangement; and of the pulsating and non-pulsating veins, and the places where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for that reason, Hippocrates said that a name is nothing but a word, and it is minor in speech, but most important in the art of healing.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 But we have already mentioned this at the beginning of this book; for whoever is not knowledgeable in what we have said about anatomy will inevitably fall into error, which will lead to the death of men, as I have seen happen many times, because some are educated in this science but abandon it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 For I have seen a foolish and inexperienced doctor cut into an scrofulous abscess on the neck of a woman, and he also cut some arteries of the neck, so that a great deal of blood flowed out until the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 And I saw another doctor who attempted to remove a stone from a man who had suffered this condition, and the stone was large. When he tried to pull it out, he took with it a piece of the bladder, so that on the third day the man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 And I myself was called to remove that stone, and I saw that because of the size of the stone and the condition of the patient, I knew for sure that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 And I saw another doctor who received payment of one duc from our land for surgery, and he treated a black castrated man whose thigh was fractured; the ignorant doctor prepared with pillows and cloths tied strongly over the wound, not allowing the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 Then he released him according to his wishes, then bound him again, and left him bandaged for several days and ordered that the bandage be removed; and it happened in this way until the thigh and the foot were suppurated, and he reached destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 And I was called to him, and prepared to remove the bandage, and after achieving peace and calm, he admitted to his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 But however, the corruption had already set in the limb, so it could not be restrained, and the corruption did not cease to spread throughout the limb until the patient was endangered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 And I saw another doctor who punctured a cancerous abscess, and it became ulcerated after a few days, until the evil within him was magnified.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 This is because the black cautery is pure of melancholic humor, so it should not be applied with all iron, but only to the part that has suffered, and let the rest remain free from it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 And for this reason, my sons, it is necessary that the operation with the hand be planned in two ways: one is an operation associated with health, and the other is work with which there is danger in the greatest disposition.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 And I have already addressed this in every place of this book where an operation is performed with error and fear; therefore it is necessary for you to guard against this and leave it, so that the pages do not find a way to speak and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 Therefore, take up your weapons with diligence and under the protection of God, and your patients with happiness and resoluteness.
