Ayssi comensan las paraulas de Albucasim .	 Here begins the words of Al-Bukhari.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 Oh, children, since I have completed this book to you, which is the last of medical science, its completion will be fulfilled in it, and through its expositions, and its declarations, it is clear to me that I should complete it to you with this treatise, which is a part of the operation by hand, known as surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 For the operation by hand is fallen into disuse in our region and in our time, to the point where its science has greatly diminished, and its traces have vanished; nothing remains of it except some small descriptions in the books of the ancients, which they altered most of it and deviated into error and falsity, until its meanings are closed off and its strength and art is weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 And it seems to me that I should revive it with the organization of this treatise according to the way of exposition and declaration and abbreviation; and so that it may come with the forms of the tools of cautery and other instruments of the work as they are by addition of the declaration, and for preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 Here's a line-by-line translation of the given text:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 "And for this, Ipocrates says that with a name it is nothing, but in action it is something small, and mostly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 "But we have already spoken of that at the beginning of this book; for those who are not knowledgeable about what we have said regarding anatomy will fall into error, which will cause the death of men, as I have seen happen too often, because some are trained in this science and yet they ignore it without knowledge or experimentation.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 "For I saw a foolish and inexperienced doctor cut an scrofulous abscess on the neck of a woman, and in doing so he also cut some arteries in her neck, causing a great deal of blood to flow until the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 "And I saw another doctor who tried to remove a stone from a man who had been suffering for some time, and the stone was large. When he attempted to remove it, he also took out a piece of the bladder with it, which caused the man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 "And I was immediately called to remove it, and upon seeing the size of the stone and the condition of the patient, I knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 Here's the translation of the given sentence:
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 And then you unbind him according to his desires, and then you rebind him, and then you leave him dry for several days and order that we unbind the bandage; and this is how it goes until the space and the foot are suppurated, and it leads to destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 And I was called to him, and I prepared to unbind the bandage, and thus he found tranquility and so alleviated his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 But still, the corruption was confirmed in the limb, so it could not be restrained, and the corruption continued to spread throughout the limb until the patient was in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 And I saw another physician who lanced an infected abscess, and it became ulcerated after a few days, until the malignancy of it was magnified with the lord of him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 The cause of which is that the cancerous growth is full of black bile, so it is not beneficial for it to be removed completely with iron, but rather it should be treated locally on the affected limb.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 And for this reason, sons, it is necessary for you that the operation with the hand be divided into two paths: one is an operation associated with health, and the other is a work with which there is danger in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 Here's the translation of the given sentence:
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 And therefore, take up your weapons with diligence and under God's protection, and may your patients have success and steadfastness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And use the best way by the grace of God to attain salvation and praiseworthy success, and leave behind terrible diseases that are difficult to cure. Remove your weapons from whatever causes you fear, so that trust in your faith and in your name does not elude you; for it is more befitting your glory, and both now and hereafter, it will be attributed to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	 France has already discussed with some of its physicians:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "Do not practice harmful medicine, lest you be called bad doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	 And I have already dedicated this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	 Here begins the division of the book, and first is the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first chapter deals with the head, particularly the shapes of instruments and the iron used in cauteries, as well as what is necessary for the operation.
La divisio de la segonda partida.	 The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter concerns incisions and perforations, as well as cupping glasses, bloodletting, the extraction of arrows or similar objects, all arranged and ordered according to the shapes of the instruments.
Divisio de la tersa partida.	 Division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third chapter, on reduction and dislocation, and the treatment of sprains and similar conditions; an ordered chapter about the head to the feet, and the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 On cautery with fire or sharp medicine and reminders about the operation.
Am aquel comensa le tractat de tot le libre.	 With this begins the treatise of the entire book. ›
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 I must tell you about the qualities of the tools for that cautery and their defects, and in which situation it is forbidden to perform cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 Therefore, I say that the discourse on the quality of the cautery tool and its defects is a long and elaborate discourse, subtle in knowledge, and secretly hidden; and many wise men have already spoken about it, and they have disagreed among themselves, and to me only a little of their speeches is sufficient, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 And so I say that you may perform cautery in every situation universally, whether it involves material or not, except for two situations, which are situations involving cold without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 In the cold and dry situation with material I will disagree; for some say that cautery is beneficial in that case, and others say the opposite, that cautery is not suitable for a disease caused by quality and dryness, because the nature of fire is quality and dryness, and it is appropriate that a cold and dry disease with water, which is hot and wet, be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 And say that the opposite of what was said before is true, because the cautery is used to help in all dry and cold diseases that appear in men's bodies, for when you compare the body of a man and its humidity to the nature of fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 And I say by the words of that one, that I have experienced this many times myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 However, it is not necessary for someone who has already been trained and practiced in the chapter of cautery by recent practice, and who knows the diversity of human nature and the dispositions of diseases within them, as well as their causes, accidents, and duration.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 But in other conditions, there is no need to fear, especially in cold and moist diseases, for all doctors have agreed on these matters, and they are not disagreeing about the help of cautery in those cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 And know, my sons, that concerning the secret of healing with cautery using fire and its effectiveness, it has been said about cautery with medicine that it is better, because fire is simple and its action only affects the member on which it is used, not harming the neighboring member except for a slight injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 Based on the provided example, I'll attempt to translate this sentence into English:
