Ayssi comensan las paraulas de Albucasim .	 Here begins the words of Al-Bukhari.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 Oh, my sons, since I have completed this book, which is the last of the science of medicine, and its completion has brought its end, and through its expositions and clarifications, it is clear to me that I should complete it for you with this treatise, which is a part of the operation by hand, known as surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 For the operation by hand has fallen into our region and time, being completely deprived of it, until very few people know about its science, and its traces have vanished; and only some small descriptions remain in the books of the Ancients, which have been altered most and led to errors and confusion, so that their meanings are closed and their power and art are distant.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 And it is clear to me that I should revive that by arranging this treatise in accordance with the method of explanation and clarification and abbreviation; and because it comes with the forms of the cautery tools and other instruments of the work as it is by addition of the declaration, and for its preparation, which is necessary. 😊
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 However, the reason why a good craftsman with his hand cannot be found in this our time is that the art of medicine is lengthy, and its actor must first be trained in the science of anatomy, which Galen taught to know the connections and separations of members, their forms and their forms; and to have knowledge of bones, nerves and ligaments, and the number of them, and their description; and of pulsating veins and quiet ones, and the places of their exit.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for this, Hippocrates said that with a name it is nothing, but in action it is little, and mostly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 But we have already said that about him at the beginning of this book; for whoever is not knowledgeable in what we have said about anatomy will fall into error through which men will die, as I have seen happen to many, because some are educated in this science and abandon it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 Because I saw a foolish and inexperienced doctor cut an scrofulous abscess on the neck of a woman, and he cut some arteries of the neck so that much blood flowed out until the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 And I saw another doctor who tried to remove a large stone from a man who was in critical condition, and the stone came out along with a piece of the bladder, so that on the third day the man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 And I was already called to remove that [stone], and I saw that due to the size of the stone and the condition of the patient, I understood that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 And I saw another doctor who received a fee of one ducat from a lord of our land for surgery, and he came upon a black man who was crippled due to a fracture in his thigh; and the doctor, with his ignorance, opened up the wound, and placed cushions and plasters on it with great strength, but did not allow the wound any air. 
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 Here is the translation of your sentence:
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 And I was called to him, and prepared to loosen the bandage, and once it is done, there will be calmness and also relief from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 However, the corruption had already taken hold in the limb, so it could not be restrained, and the corruption continued to spread throughout the limb until the patient was in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 And I saw another physician who pierced a cancerous abscess, and it was ulcerated after several days, until the evil was greatly magnified in him with his master.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 The cause of which is that the cancerous growth is full of melancholic humors, therefore it is not beneficial for it to be pierced completely with iron, but rather only in the part where it hurts the most.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 And therefore, sons, it is necessary for you that the operation by hand be divided into two divisions: one is the operation associated with health, and the other is the work accompanied by great danger in the highest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 And I have already mentioned this in every place of this book where there is an operation that involves error and fear; therefore it is necessary for you to guard against this and leave it, so that the pages do not find a way to speak and bring dishonor to you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 And so take up your weapons with fervor and with the protection of God, and your patients with joy and determination.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And use the best way by the grace of God to achieve health and a praiseworthy outcome, and leave behind the terrible diseases of difficult healing, and remove from yourselves that which makes you afraid, so that trust in your faith and in your name may not escape you: for it is more fitting to your glory, and both now in this world and later to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	 France has already been divided into some of its regions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "Do not treat illnesses badly, lest you be called bad doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	 And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	 Here begins the division of the book, and first of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first chapter is about the feet, their shapes and the instruments used, as well as the irons of the cautery and what is necessary for the operation.
La divisio de la segonda partida.	 The division of the second part.
