Ayssi comensan las paraulas de Albucasim .	Here is the translation of the provided line:
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina,
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with the hand is laid bare in our region and in our time completely devoid of practice, such that the knowledge of it has become weak, and its traces remain; and nothing remains of it except some small descriptions in the books of the Ancients, which have been altered by many and led to errors and superstitions, such that the meanings of it are closed off and its strength and art have diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will revitalize that through the organization of this treatise according to the method of exposition and explanation and abbreviation; and so that it comes with the forms of the cautery tools and other instruments of the work, along with the addition of the explanation, and the preparation of them, which is necessary for the cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no skilled practitioner is found with their hand in our time is that the art of medicine is long and requires its practitioner to be exercised in the science of anatomy, which Galen mentions as necessary for knowing the functions of the members and their forms, and the connections and separations between them; and having knowledge of the bones, nerves, and ligaments, and their number and distribution; and of the pulsating veins and the quiet ones, and the locations of their emergence.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And by this Hippocrates means that the name matters less, but in the deed it is small, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of this in the introduction of this book; for whoever is not knowledgeable about what we have said about anatomy will not be able to avoid making mistakes that can lead to death, as I have seen many such cases, for some are so inexperienced in this science and stray from true knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw an inexperienced and foolish doctor incise a scrophular abscess on a woman's neck, and in doing so cut some arteries of the neck, causing great bleeding which led to the woman dying in the arms of those present.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who attempted to remove a stone from a man who had complained about his condition, and the stone was large. The doctor came to him and removed that stone along with a piece of the bladder, because of which that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I myself attempted to remove it, and saw that due to the size of the stone and the condition of the patient, I recognized that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received payment from a duke of our land for surgery, and he encountered a black castrated man who had a fracture in his thigh. The doctor, with his ignorance, attempted to set the fracture by tightly binding the wound with pillows and splints without allowing any expansion or breathing room for the injury.
