Praefatio.	Foreword.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I had completed for you, sons, this book, which is the last part of science in medicine with its complement, and I had reached the end in it, from its explanations and declarations, it seemed to me that I should complete it for you with this Treatise, which is a part of operation, that is, surgery with hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Because the operation with hand is laid out in our region and time, and has been utterly privatized: so that perhaps the science of it has perished, and its investigation has been cut off: and there did not remain any of it, except for small descriptions in ancient books, which were distorted by hands: and error and hesitation occurred, until the intentions of it were closed, and its force was elongated. It seemed to me that I should revive it with the ordering of this Treatise, according to the way of positioning, declaration, and abbreviation: and so that I might bring it together with the forms of cauterium instruments, and other tools of work: as it is fitting from declarations of addition, and from its proper preparation which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a good craftsman of it with his hand is not found in our time is: because the art of medicine is long and it is necessary for its author to have exercised beforehand in the science of anatomy, which Galen described, so that he may know the juiciness of members, and their forms, and their conjunction, and separation, and have cognition of bones, and nerves, and ligaments, and their number, and their egressions, and veins pulsating, and quiet ones, and exit places.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And on account of this, Hippocrates said that a name with a name is much, and with work is little, and especially in the art of hand.
Nos uero iam diximus de illo in introitu huius libri.	We have now spoken about it in the introduction of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Because whoever is not knowledgeable about what we have said about anatomy will not be cautious, lest they already fall into error, by which men are harmed: just as I have seen many of those who are formed by this science, and boast about it without knowledge, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened was that a foolish doctor cut into a scrofulous apostem on the neck of a woman and severed certain arteries in her neck, so that her blood flowed out, until she fell dead at his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And another foolish doctor who attempted to extract a stone from a man's testicle, which was swollen at the time, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He therefore approached him, and extracted it along with a piece of his bladder.
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I had already been called in to extract it: and I saw from the size of the stone and the condition of the sick man that he would die.
