Praefatio.	Foreword.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I had completed for you, my sons, this book which is the final part of the science of medicine with its complement, and I had reached the end in it, from its expositions and declarations, it seemed good to me to complete it for you with this Treatise which is a part of the operation, that is, surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with the hand was neglected in our region and time, and was completely forgotten; so that perhaps the knowledge of it perished, and its investigation was cut off; and there did not remain any of it except for small descriptions in ancient books, which were altered by hands: and error and hesitation occurred among them, until their intentions were closed and its power was elongated. It seemed good to me to revitalize it with the arrangement of this Treatise, according to the method of positioning, declaration, and abbreviation; and to bring it together with the forms of cauterium and other instruments of operation: so that it would be done through added declarations, and through proper preparation of what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a good craftsman with his hand is not found in our time is: because the art of medicine is long and it is necessary for its author to be exercised beforehand in the science of anatomy, as Galen described, so that he may know the juices of the members, and their forms, and their connections, and separations, and have knowledge of the bones, and nerves, and ligaments, and their number, and their egressions, and of the pulsating veins, and quiet ones, and the exit places of these.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of that, Hippocrates said that a name with a name is much, and with a work is little, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken about it in the introduction of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since one who is not knowledgeable about what we said about anatomy will not be cautious, and already falls into error, whereby humans are harmed: just as I have seen many of those who boast about this science without knowledge and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened was that a certain foolish doctor cut into a scrofulous apostem on the neck of a woman, and he severed some arteries in her neck; as a result, the woman's blood flowed out, until she fell dead at his feet.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who attempted to extract a stone from a man's bladder, which had been causing him pain for a long time, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He approached him therefore, and extracted it with a fragment of the bladder.
Quare mortuus est uir in tertio die.	As a result, the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I was indeed already called in to extract it: and I saw from the size of the stone and the condition of the sick man that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who received a stipend from a certain Duke of our land because of his medical skills: and it happened to a black eunuch who was in the Duke's service, that he suffered a fracture in his leg near the ankle; and the doctor, with his ignorance, tightened the fracture above the wound with poultices, and bandaged it strongly, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he abandoned him according to his despair.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards, he left him for several days and ordered him not to loosen the bandage; and it remained thus until his leg became infected and his foot, and it led to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was called in therefore to him: and I proceeded to loosen the bandage: and calmness followed, and he was freed from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	But truly, the corruption had already taken hold in the limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So therefore the corruption ceased to spread through the limb, until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who pierced a malignant ulcer: and it became infected after days, until the evil of his condition was manifest to him and his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	What is, is that when it is a pure cancer from melancholic humor, then it is not suitable to be touched with iron at all, unless it is in a member that can tolerate it, so that the whole of it may be cut away.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And because of that, O sons, it is necessary for you to know that the operation with the hand is divided into two divisions: namely, an operation associated with salvation, and an operation in which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already excitedly pointed out in every place of this book, where an operation comes up, which is accompanied by terror and fear.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of that, and to dismiss it: so that you may not find a stupid way to speak about it, and to shame.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Take therefore the measure with solicitude and protection, and clothe your infirmities with facility and firmness, and walk in a better way leading to gratitude of God for salvation and laudable succession: and dismiss terrible difficulties of sanation: and lift your souls from that which makes you fear, so that hesitation may not creep over you in your faith and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining to your glory, and more sublime in this world, and finally to your quantities.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen indeed has already said in certain of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not heal the bad disease: lest you be named a bad doctor.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	Now, however, I have divided this Treatise into three Chapters.
Capitulum primum.	First Chapter.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	On Cauterization with fire and Cauterization with acute medicine, chaptered and ordered from head to feet, and the forms of instruments, and the tools of Cauterization: and all that is necessary in the operation.
Capitulum secundum.	Second Chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On incision and perforation, bloodletting and venesection, and wounds: and the extraction of arrowheads, and similar things: and all chaptered, ordered in forms of instruments.
Capitulum tertium.	The third chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	About restoration and dislocation, and the treatment of twisting, and similar things to that: a chapter, arranged from head to feet, and the forms of instruments.
Soli Deo Gloria.	To God alone be glory.
Liber Chirurgici Albucasis.	The Surgical Book of Albucasis.
Pars I.	Part I.
