chapter nineteen .	capitol . xix .	0.957692
on the repair of fractures accompanied by wounding .	de restauracio de fractura dels osses quan es am plagua .	0.58
when a man has a compound fracture , especially when it is a large bone such as the femur or humerus or the like , you should at once venesect him if the conditions are suitable for venesection as set out above .	convenient es ad aquel al qual accideys fractura am plagua , e majorment si le os es gran ayssi cum es le os de la cuoyssa o de l’adjutori , o semblant ad aquel , que tu te cuoytes e fleubotomes aquel tantost si las condicios de fleubotomia a tu o testifican ayssi cum desus havem dit .	0.673764
if there is bleeding from the wound you must hasten to stanch it by sprinkling it with powdered vitriol if you have nothing else at hand .	e si la plagua eflueys sanc , lahoras cove que tu te coytes a la retencio de lu enayssi que tu polverizes sobre lu zegi trissat , si a tu autra causa no es present .	0.573641
then begin on the reduction of the fracture the very same day ; do not put it off unless an abscess occur .	e aprop comensa restaurar la fractura en aquel meteys dia , e no prolongues aquo , si no accideys apostema .	0.698626
but if an abscess does occur , leave the reduction until the ninth day so that the abscess may subside , and in no circumstances touch it on the third or fourth day , for you will bring evil consequences on him .	mays si accideys apostema caut , lahoras tu layssa la restauracio de lu entro al ix dia , entro que sia cedat le apostema , e no apropinques a lu en le tertz dia e·l iiii de tot , quar tu faras accidir mals accidentz .	0.703828
if the fractured bone be overriding the skin you must try to reduce it and to straighten it out by hand , gently and with moderate extension .	mays si le os trencat es eminent sobre la codena descubert , lahoras cove que te perforses reduzir aquel e engualar aquel am las tuas mas am facilitat e am pauca extencio .	0.649138
if reduction and straightening by hand is unsuccessful , then reduce it with this instrument ; it is made of iron , seven or eight fingers' breadths long , and wide in proportion to the size of the wound ; that is why the doctor should have three or four of them in the sizes he may need for treating every kind of fracture .	mays si extencio no es a tu preparada e la equacio de lu am las tieuas mas , lahoras tu reduzeys aquel am las tuas mas am aquest sturment ; e es sturment le qual es fayt de ferr , la longitut del qual es de vii ditz o de viii e la latitut del qual es segon la quantitat de la plagua ; e per aquo es necessari al metge que prengua de aquels tres o quatre segon la quantitat que indigeys ad aquo en la curacio en tota specia de fractura .	0.569743
it should be round and somewhat thick so as not to bend when pressure is put upon it at the time of operating .	e sia redon , e sia en lu pauca groceza per so que no sia doblat deves la comprecio sobre aquel en la hora de la operacio .	0.753034
it should be sharp-ended with a bend at the end ; the upper part should be of some thickness , but from the middle to the lower part it is a good bit thinner .	e sia de aguda extremitat al qual sia marge en las sieuas extremitatz ; e sia le desus de lu a grossetut tendent , e de la maytat de lu entro a las partidas .	0.880933
this is its form .	e aquesta es la forma de lu :	0.14
