chapter thirty .	capitol . xxx .	1.00385
on the treatment of dislocation of the spinal vertebrae .	de la curacio de dislocacio dels spondils del dos .	0.803594
when any of the vertebrae of the back or the neck are completely dislocated or a number of vertebrae are displaced , there is no treatment in this case for death is hastening toward the patient .	quan accideys ad alcun dels spondils del dos o del col dislocacio complida , e so remaugutz motz spondils de lors locs , lahoras en aquela no es curacio , quar la mort se coyta al malaute .	0.681011
the sign of this is that the injured man passes a motion involuntarily , being unable to hold it back ; often too some of his limbs go limp , either both legs or both arms or one of them . ~~~ if , as often happens , a single vertebra is displaced , the displacement may be in any of four directions .	e senhal de aquo es que la egestio del malaute es fora-eyssida ses voluntat , e no pot retenir aquela ; e motas veguadas so mollificatz alcus membres de lu o doas cambas de lu o dos brasses de lu , o un de aquels ; o es remaugut un spondil de son loc , quar motas veguadas es remaugut e motas veguadas es fayta la remocio de aquels a quatre partidas .	0.294958
when there is a displacement backwards it is called 'curvature of the spine' .	donc aquela ja es remauguda a las partidas detras e es nompnada gelbozitat .	0.890625
as to its treatment : examine it ; if the curvature dates from childhood then there is no treatment or cure at all for it .	mays la curacio de lu es que lahoras consideras si la gelbozitat accidey de puerissia , quar lahoras en aquela no es curacio ni de aquela no es sanacio de tot .	0.650505
as for the sort that occurs from a fall or a blow or the like , the ancients indulged in lengthy dissertations thereon , giving many kinds of treatment , the greater part of which is of no use . ~~~ but i have abbreviated from it , making a little which will serve in place of their much , consisting in my clarification and exposition of the sense . ~~~ i have also depicted the instrument differently from their account and their explanation .	mays en aquela que ve per cazement o per percussio o per semblant ad aquels , ja diyssero les antics las manieras de curacio am sermo prolixs , del qual lo mays retorna am profieyt ; mays yeu ja e abreujat de aquel del qual lo pauc escusa del trop de lu , per la mieua propinquitat a la entencio mieua exposicio , am la qual he aquo expausat et format ex instrument divers de aquel am le qual mostrero aquo e espausero aquel .	0.0730579
i say then , that in a curvature occurring forward there is no technique or cure for it . ~~~ and likewise in a curvature laterally .	e dic que en gelbosita que accideys de la partida denant en le pietz , no es engen ni sanacio de aquela ; e semblantment en aquela que es fayta a dos latz .	0.426168
the only curvature that can be treated is that of the dorsal spine exclusively , by the means i now describe .	e de aquelas no es curada sino aquela que accideys en le dos propriament am aquo que yeu recomti .	0.548214
the patient should be stretched prone upon a level bench near a wall , and a soft palliasse should be spread under him so that his chest may not be hurt .	e es que·l malaute sia extendut sobre la sua cara sobre pug engual prop de paret , e sia extendut dejos lu esturment molh per so que no sia lidit le pietz de lu .	0.833358
then put a straight spar , set in a hole in the ground at the end of the bench where his head is , and another spar where his feet are at the other end of the bench .	e aprop un fust dreyt sia pausat , ficat en la terra en la extremitat del pug entorn le cap de lu , e autra fust en aviro les pes de lu en l’autra extremitat del pueg .	0.754562
let an assistant hold this spar , which is not to be firmly fixed in the hole , while another assistant holds the other in the same way .	e·l ministre tengua le fust , e no sia fermat en fossa ; e autre ministre tengua l’autre segon aquela forma .	0.750953
then wind round the patient's chest and beneath his axillae a soft strong wrapper , and stretch one end of the wrapper to the spar at his head , and tie it to it . ~~~ then bind other wrappers : over his hips , his knees , and by both tendons of achilles ; then bring the wrappers together and tie them to the other spar at his feet .	e aprop envolopa sobre le cap del malaute e dejos les titillic liamen leon ferm ; e exten la extremitat del liamel al fust le qual es deves le cap de lu , e lia aquel en lu ; e aprop strenh l’autre liament sobre las ancas de lu les denols de lu , e deves las cambas de lu ; e aprop ajusta totz les liamentz e lia aquels en l’autre fust le qual es deves les pes de lu .	0.444697
