chapter eleven .	capitol . xi .	0.975
on setting a fracture of the humerus .	de restauracio de la fractura del adjutori .	0.910417
the humerus is what lies between the elbow and the head of the scapula .	adjutori es aquo que es entre le coyde entro al cap de la spalla .	0.641038
if it is fractured it may be set in one of two ways . ~~~ one is to take a smooth bow-shaped piece of wood of medium thickness , like this .	e si es trencat , lahoras la restauracio de lu es en una de doas manieyras , de las quals es la una que tu prenguas fust pla de migiera groceza segon aquesta forma :	0.0683486
you tie two bands at the two ends and then it is hung from above .	e sian liatz en doas extremitatz dos liamentz , e aprop sia suspendut del loc elevat .	0.896267
the patient is to sit on a seat ; then his broken arm is folded upon the piece of wood in such a way that his axilla fits into the middle of the curve of the piece of wood .	e segua le malaute sobre una sezela ; e aprop gieta fora le sieu bras trencat sobre le fust entro que pervengua al titillic de lu en le mieg loc del qual sia annexa la curvitat del fust .	0.641667
then hang a heavy weight from the arm , or have an assistant pull it downwards ; then the doctor should straighten out the fracture with both hands together until it is properly reduced .	e aprop suspen sobre aquel alcuna causa greu , o·l minestre extenda aquel a las partidas dejos ; e aprop le metge eque la fractura am las sieuas mas ensemps , entro que la fractura retorne segon que cove .	0.774675
the other way is to make the patient lie back and to suspend his hand from his neck by a band , then you instruct two assistants . ~~~ one is to grasp with both hands the arm above the fracture , and the other the arm below the fracture ; and each should make extension toward himself .	e l’autra manieyra es que·l malaute sia ressupinat sobre la sieua cervitz e suspen la ma del col de lu am liament ; e aprop comanda a dos ministres que la un de lor tengua aquo que es desobre la fractura am las suas mas ; e l’autre tengua le pus dejos de lu ; e quascu de lor extenda a la sua partida .	0.331473
and if you wish to extend more strongly , tie a band below the fracture and another above , and let each assistant pull toward himself .	e si voles que la extencio sia pus fort , lahoras tu strenh sobre la fractura am liament e sobre aquela am autre liament , e quascu dels dos ministres extendan a doas suas partidas .	0.95
if the fracture is near the extremity of the shoulder you will have to put one band beneath the axilla and the other below the fracture near the elbow .	e donc si la fractura es propinquada a la extremitat del muscle , lahoras cove que sia pausat la mitat del liament sobre le citillic e l’autre dejos la fractura deves le coyde .	0.539516
similarly , if the fracture be near the elbow you will have to put a band over the place and over the elbow itself .	e semblantment si la fractura es propdana al coyde , lahoras cove que sia pausat le liament sobre aquel loc e sobre aquel coyde .	0.834988
then gently and without violence straighten out the fracture until it is restored to its proper shape and fits together well , and then tighten it if no abscess occur .	enguala aquela am facilitat e ses trebal , e aprop quant sira engualada segon que cove e es applicada per bona applicacio , lahoras strenh aquela si no accideys apostema caut .	0.847392
but if an abscess occur , leave the bandaging until the seventh day and apply raw wool soaked in vinegar and oil of roses until the abscess subsides ; then bind it up .	mays si accideys apostema caut , lahoras layssa la strictura entro al vii dia , e pausa sobre lu lana sutza enbeguda en vi agre e oli rozat entro que repause le apostema , e lahoras tu stren aquela .	0.673424
the method of binding it is to apply a plaster to the fracture ; then wind round the plaster a bandage of new material ; then bind the forearm to the humerus , placing his hand open on his shoulder .	e la manieyra de strenher aquela es que pauses emplastre sobre la fractura , e aprop pausa envolopament de drap nau sobre le emplastre ; e aprop ajuste le bras sobre aquel adjutori , e pause la sua ma uberta sobre le sieu muscle .	0.820804
then apply pads and bandages to the arm and forearm so that the forearm serves instead of splints , if there is no contra-indication and you see no pathological change in the broken bone .	e pausa le drap e strenh sobre le adjutori le bras per so que·l bras sia en loc de stelhas , si no prohibeys de aquo alcuna causa del os trencat .	0.744592
but should you fear any such change then use splints .	e lahoras usa de stelhas .	0.843506
the way to use these is to place over the fracture itself a splint that is broader and stronger than the rest ; and leave a space of a finger's breadth between splints ; the splint should be of a length to suit the fracture with the addition of three fingers' breadth all round .	e es que pauses sobre la fractura aquela stela que sia pus lada e pus fort de las autras stelas ; e pausa entre quascuna stela la latitut del dit , e sia la longitut de las stelas segon la trencadura am addicio de tres ditz de tota partida .	0.601646
then bandage over the splints in the manner mentioned at the beginning of the chapter .	e aprop strenh sobre las stelas am la strictura la qual he dita al comensament del capitol .	0.640612
that is , you should bandage more tightly over the fracture itself and more lightly as you get away from the fracture .	e es que la tua strictura sobre le loc de la fractura sia pus streyt . ~~~ e quant pus es alonguada la fractura sia la strictura menor .	0.161164
if you decide to put on splints and bandage , as we have said , at the time you set the limb , do so .	e donc si vezes le situament de las stelas e la strictura ayssi cum havem dit en la hora en la qual restauras le membre al sieu assituament , lahoras tu fay .	0.667094
but if you fear an abscess , leave the splinting and bandaging until the seventh day as we have said .	e si temes apostema caut , lahoras tu layssa la strictura e las stelas entro al dia vii ayssi cum havem dit .	0.827382
then examine the bandaging every third day lest there be itching or swelling at the place ; or nourishment be prevented from reaching the limb on account of excessively tight bandaging ; treat all these in the proper manner according to our prescriptions .	e aprop considera le liament en totas partidas per tres dias per so que no accida en le loc pruziment o imflacio ; o es prohibida la vianda pervenir al membre per disposicio de superfluitat de strictura ; e donc rectifiqua tot aquo segon que havem dit .	0.889855
but if you are confident that nothing of this sort is happening then do not loosen the bandaging until after many days .	mays si tu yest sobre confizanssa que no accida alcuna causa de aquo , lahoras no deslias la liguadura sino aprop tres dias o mays .	0.647727
the patient should be made to sleep on his back with his hand on his stomach , and under the humerus there should be placed a cushion evenly filled with wool .	e sia la sua dormicio del malaute sobre le sieu dos , e las sieuas mas sian sobre le stomac .	0.758845
and examine it at all times of the day and night lest the shape of the broken limb suffer any deformity or the binding loosen ; do your utmost to put any such thing right .	e pausa sobre le adjutori cocena plena de lana engualment , e considera en tota hora de la nueyt o del dia que no sia deliada ni dissolta la figura del membre trencat , o que sia le liament mollificat , donc rectifica aquo tot am la tua vertut .	0.496063
you should also direct the patient's diet along the line that we have given earlier ; namely , at first the food should be light until the bone has begun to knit ; then you should order heavier food .	e pausa la vianda del malaute segon le orde le qual havem denant mes , enayssi que la vianda sia subtil en le comensament entro que es comensat strenher ; e lahoras cove que egrossas la vianda de lu .	0.665854
now it is the nature of the humerus and of the leg to knit in forty days ; then they should be loosened and the patient should go to the bath and be treated with suitable ointments .	quar de constuma del adjutori e de la camba de lu es que sian strengutz en . xl . ~~~ dias ; e lahoras cove que sian desliatz e sia administrat banh e sia medicat am enguentz los quals rectifican aquel .	0.315531
if the fracture be ugly and contused , do not unfasten it for fifty days or even two months .	e si la fractura es layha atrita , lahoras tu no deslies de aquela le liament e las stelhas entro a . l .	0.839429
	dias o entro a dos meses .	-0.3
		0.3
