chapter six .	capitol . vi .	1.05
on the treatment of things that fall into the ear .	de la cura de aquo que catz en las aurelhas .	0.5
all that falls into the ear comes under four categories : mineral stone , or what resembles stone , such as iron or glass ; vegetable grain such as pea or date-stone or the like ; or liquid such as water or vinegar ; or animal .	tota causa que catz en las aurelhas es una de quatre specias , quar o es peyra mineral o causa semblant a peyra , ayssi cum ferr e veyre , o es de planta ayssi cum ceze o fava , o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz , o alcuna bestia .	0.701434
when a stone or something of that sort that does not grow gets into the ear , turn the ear toward the sun . ~~~ if you see the stone , pour upon it a little oil of violets or sesame ; then try to get it out by moving the head or by inducing sneezing with ptarmica and keeping the nose closed at the onset of sneezing , having first made round the ear a circle of pieces of cloth or wool and drawn the ear upwards .	e donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha , e pausa la aurelha al solelh , e si vezes la peyra , lahoras distilla en aquela alcuna causa de oli violat o sizami , e aprop aministra la extraccio de lu , e fay le stornudar am condizi , e oppila las nars deve le aveniment de stornutacio .	0.188488
this treatment will usually bring it out .	e aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana , e dextendas la aurelha a las partidas desus , quar motas veguadas es foro-getada am aquestas causas .	0.733333
but if it does not come out , try to get it out with a fine pair of tweezers shaped thus .	e si no n’es getada , lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma :	0.38087
if it comes out with the tweezers , good .	e si es foro-getada am gesti , bo es ; e sino , lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio .	0.835027
but if not , try to extract it with a fine blunt hook slightly curved .	e donc si no es foro-getada per aquo , lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula .	1.03282
and if this does not bring it out , make a bronze tube and introduce the end of the tube well into the meatus of the ear and fill in round with wax softened with oil so that there may be no outlet save through the tube ; then suck it out with all your breath ; it will often come out with this .	e aprop extratz am le tieu vent am fort atraccio , quar tropas veguadas cum aquo que havem recontat .	0.190017
but if it does not come out with these means we have described , take turpentine resin or bird-lime , a very little ; twist some compact cotton wool on the end of a probe and put this on the tip ; then introduce it gently into the ear after you have dried out all the moisture from the ear .	mays si no es foro-getada en aquesta manieyra , lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat , e pausa aquel en la extremitat de ray , e aprop envolopa sobre aquel coto decentment pausat .	0.630446
but if your treatment so far is unavailing , then be quick and incise before an abscess or spasm supervene .	e aprop entromet aquel en le trauc de la aurelha am facilitat , e aprop excicca la aurelha de la humiditat .	0.842045
now this is the way to incise : first , the patient's cephalic vein should be cut and blood drawn , in proportion to his strength ; then seat the patient in front of you and turn his ear upwards ; make a small incision at the lobule of the ear in the depression there ( the incision should be crescent-shaped ) until you reach the stone ; then extract it with whatever instrument you may .	e donc si no es foro-getada am totas las causas las quals havem recontadas , lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme .	0.375385
immediately afterwards sew up the incision and dress it till healed . ~~~ if the object that falls into the ear is one of those grains that grow or swell , then try to extract it by the means already mentioned .	e la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu , e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus , e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu .	0.358235
if it does not respond to your efforts to get it out , take a fine narrow scalpel like this and with it attempt to cut out whatever kind of grain has entered the ear .	e sia la fissura de figura lunar entro que pervengua a la peyra , e , la peyra atrobada , osta aquela si podes am instrumentz apropriatz ; e aprop cos la fissura en aquela hora am velocitat , e cura aquela entro que sia sanat .	0.757041
you should not do this except when you are sure that this grain has become moist by reason of the vapours of the ear , so that you may cut up the grain into several small pieces .	e si la causa cazent en la aurelha es un dels gras que creysso e so inflatz , lahoras aministra la curacio e la extraccio de lu ; mays si no obezeys a tu ad eyssiment , lahoras tu pren spatum teune subtil segon aquesta forma :	0.604895
then you may extract them with a blunt hook or fine-headed tweezers , or by suction , as we have mentioned ; for their extraction will be easy .	e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha .	0.572269
