chapter forty-five .	capitol . xlv .	0.911538
on incision for various kinds of cyst .	de seccio de las specias de nodes .	0.591954
there are various kinds of cyst .	dels nodes so motas specias e yeu ja he dit totas las specias de lor en la divisio .	0.632143
we have already mentioned all their varieties in the proper place .	e cove que yeu recomte assi la diferencia entre node e exitura cum fassa dubitacio .	0.923887
but we need here to set forth the difference between a cyst and an abscess , for it is complicated . ~~~ the abscess will be accompanied by heat and fever and fearsome pain , until the boiling-up of the superfluous matter settles down and the suppurating process is completed : then will the fever and intensity subside .	donc yeu dic que am exitura es caliditat e febre e dolors vehementz entro que es sedada la ebullicio de la superfluitat ; e es complida putrefaccio que lahora cessa la febre , la dolor e la calor .	0.262795
but with a cyst there is neither heat nor fever nor pains , and a membranous capsule encloses it , its own particular covering .	mays am node no es caliditat ni febre ni dolor , e conte aquel ciphac leon le qual es al u sac propri .	0.571111
the cyst is flesh-coloured , and it begins like a pea and becomes like a melon , more or less ; and is of two kinds : either fatty or containing humidity ; and the colours of the humidities are several , as we mentioned in the appropriate section .	e es segon la color del cors , e le comensament de lu es cum un ceze e es fayt ayssi cum vace , sia major o minor , e son segon dos specias , quar o so grassas e conteno humiditat , e las colors de la humiditat son motas , segon que yeu diyssi en la divisio .	1.00438
when you come to treat the cyst , you should first sound it and examine it with the instrument called the explorer , which is figured in the next chapter .	donc cove , quan pervenas a la curacio de node , que exprohes aquel e inquiras aquel al comensament am sturment le qual es apelat intromes , segon que vindra la sua forma en le capitol le qual es aprop aquest .	0.570238
the way to examine all tumours and cysts is to take this instrument and press it in at the spot where the tumour is softest , and revolve it gently with your fingers till you know you have pierced the skin ; then press it in proportionately to the size of the tumour .	e es manieyra de inquisicio de apostemas e de totz nodes , e es que tu prenguas aquest sturment e entromet aquel en le loc pus humit le qual atrobas en le apostema , e tu revolveras les tieus ditz am aquel petit a petit entro que sapias que·l sturment ja ha penetrat la codena .	0.725253
then remove the explorer and see what comes out after it .	e aprop ultima la tua ma segon la mesura de la grandeza del apostema , e aprop extratz le entromes e considera aquo que es yssit en le vestigi de lu .	0.773077
if a humidity should flow , whatever the colour , make a simple incision , as i said for the other tumours .	e si es fora-getada la humiditat corrent , de qualque color sia , lahoras tu le inscideys am seccio superficial segon que he dit en les autres apostemas .	0.787069
but if no humidity come out along the track of the explorer you know at once that it is fatty .	e si del vestigi de l’intromes no hieys humiditat , lahoras sapias que es gras .	0.960428
therefore make a cruciform incision upon it in this shape , as i have told you , and attach hooks and dissect away the skin gently from all sides .	e secca sobre lu am seccio havent forma de crotz segon aquesta forma :	0.184483
be careful with the capsule ; if you can , get it out whole , together with the cyst .	ayssi cum t’e ensenhat , e suspen aquel am oncis , e excorja la codena de tota part am facilitat , e guarda la pel o sac , si podes , sobre aquel e extraguas aquela sania am le node .	0.964706
but if the capsule is torn in the course of the operation , and you cannot get it out whole , which frequently happens , remove it bit by bit until there is none of it left .	mays si es romput en la operacio , no es possible extrayre aquela sana , e motas veguadas endeve aquo , e lahoras tu la extratz a pessas entro que de lu no romangua denguna causa .	0.758467
for if a part of it is left behind , either great or small , the cyst will generally return .	quar si de lu roman denguna causa , pauc o trop , le node retorne segon le mays .	0.703125
if it defeats you and some little piece of it remain , pack the wound , when you have done all you can , with some caustic powder and bandage it and put on it something to ease the inflamed tumour , and treat in the usual way until healed .	e si tu vezes que de lu roman alcuna part petita , lahoras comple la plagua de alcunas polveras corrosivas agudas e strenh la plagua , e pausa sobre aquela que sede apostema caut , e cura aquel del autra curacio entro que sia sanat .	0.935123
if the tumour be large , sew the edges of the incision together and treat with stimulants .	e si es node gran , lahoras tu cus las doas labias de lu e cura aquel am aquo que encarna .	0.914678
if you should come across a blood-vessel , pulsating or not , and there be haemorrhage , hasten to pack it with pounded vitriol ; and leave bandaged for two or three days until the wound becomes purulent and the boiling-up of the blood is allayed ; then resume cutting open the rest of the cyst .	mays si vena pulsatil es a lu contraria , o no-pulsatil , lahoras tu coyta e huemple le loc de zegi trissat que es vetriol e leyssa aquel streyt per dos dias o per tres entro que·s poyresca la plagua e que repause la ebullicio del sanc ; e aprop retorna a inscindir aquo que es romas del node .	0.86261
		0.3
