chapter forty-one .	capitol . xli .	0.934615
on opening superficial tumours of the scalp .	de seccio de apostemas les quals veno en la codena del cap .	1.22308
small swellings form in the scalp , which are of the various kinds of cyst , contained within membranes which form a capsule to them like the crop of a chicken .	en la codena del cap petitz apostemas , e so de specias de nodes les quals conteno tunicas que so a lor factz ; e las specias de lor so motas .	0.797667
there are many kinds of these .	e de lor son pingas , e de aquelas so que conteno humiditat semblant a lima .	1.00962
there are fatty ones , there are those containing a liquid resembling black slime , there are those containing a liquid resembling porridge and gruel and the like , while others are stony hard .	e de aquelas so las quals conteno humiditat semblant a pols , et asemblantz a lor ; e de aquelas so que son lapideas , durs .	0.867
it is not dangerous to open and extract any of them , so long as you do not encounter an artery in excising them .	e en la seccio de totz , e en la extraccio de aquels no es temor , cum deves la exteccio de aquels no fa contrariat arceria .	0.850549
the operation for incising them begins by exploring them with the instrument called an explorer , figured lower down , so as to get to know what sort of contents they have .	e la operacio en seccio de aquels es que tu esproes aquels am instrument la forma del qual ve aprop aysso , le qual es apelat entromes , entro que sapias que contengua .	0.730228
if they are the sort that contain fluid , incise them with a simple longitudinal incision , thus .	quar si aquo que conte es humiditat , lahoras scindeys aquel am seccio segon la longitut per seccio superficial segon aquesta forma :	0.335185
begin your incision at the letter b , to letter g ; and when the humidity is emptied dissect away the capsule containing it , whole , not leaving the least remnant .	e comensa en la seccio de la linha de . b . entro a la linha de . g . donc cum la humiditat es evacuada , lahoras tu excoria aquela pel que conte aquela humiditat , e no leysses de aquela alcuna causa de tot , quar tropas veguadas retorna , si roman de aquela alcuna causa .	1.26124
for often it comes back if any has been left behind . ~~~ then dip some cotton wool in egyptian ointment if you have some ; if not , in saline ; and pack it in the wound and leave till next day , for that will destroy the remains of the capsule .	e aprop submergeys coto en enguent egipciach , si es present , e sino , en aygua e sal ; e umpleys am aquel la plagua e layssa aquel entro ad autra dia , quar am aquo corrodeys tot so que es romas de aquela pellicula .	0.16123
then repeat the cotton wool with egyptian ointment a second time , or a third if need be , till it is certain there is nothing of the cyst left . ~~~ then treat the wound with ointments until healed .	e aprop itera sobre aquel coto am enguent egipciach segondament e tersament si indigeyses de lu , entro que·t comfides que no y haia romas alcuna causa de aquela pellicula ; lahoras cura la plagua am enguent entro que sia sanada .	0.159375
if the tumour contains a fatty cyst , incise thus , a cruciform incision ; then hook up the edges of the incision , dissect away every direction , and strive to extract the containing capsule .	e si apostema conte nodi gras , lahoras tu inscideys aquel segon aquesta forma :	0.0800373
if you should come across an artery , deal with it in the manner already described .	am seccio havent forma de crotz , e geta oncis entre doas labias de la seccio e scorsa aquel de tota partida , e esforsa la tua vertut en extraccio de la tunica la qual conte aquel .	0.965217
carry out the same manner of incision and treatment for a stony tumour , just as i have described .	mays si a tu arceria fa contrarieta , lahoras fay aquo que yeu t’e recontat primieyrament .	0.780263
it is easier to open a hard tumour , for it has little blood and humidity ; and sometimes these tumours on some people's heads have no humidity at all .	e semblantment fay en le apostema lapificat de seccio e de curacio segon que a tu havem dit ; e seccio sobre apostema lapificat es pus leugiera , quar es de pauc sanc e de pauca humiditat .	1.07058
i myself cut down upon a tumour in the head of an elderly woman and i found the tumour as hard as a stone , rough and white , which it was impossible to break , and which if thrown at anyone would have injured him .	e alcunas vetz so alcus de aquestz apostemas les quals so en le cap en alcus homes am los quals de tot no es humiditat ; la qual causa es quar yeu inscindigui sobre un apostema en le cap de una femna vielha e atrobegui le apostema ayssi cum peyra sorda , aspra , blanqua , la qual no podia esser trinquada , e si a alcu fos am aquela percussit , plaguera aquel .	0.6525
for all tumours arising in the head other than these , such as those which occur in children's heads and those at the root of the ear , make a simple incision .	mays en les autres apostemas accidentz en le cap otra aquest no es aquest capitol , ayssi cum les apostemas que veno als caps dels enfantz e deves las razitz de las aurelhas , mays la seccio de aquestz totz sia seccio superficial .	0.689877
you should always begin your incision from below to allow an easy downward flow for the pus .	e pausa la perforacio de aquels de la partida pus bassa de lor per so que sia alleujat le cos de la sania a las partidas pus bassas .	1.13438
then treat with suitable after-treatment .	e aprop cura aquelas am aquo que conveneys ad aquel de curacio .	0.61015
		0.3
