Ayssi comensan las paraulas de Albucasim .	Here begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, if you have completed this book, which is the last of the science of medicine, for the completion of its purpose, and for its explanations, and for its declarations, I consider that you have completed this treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of castration has been entirely neglected in our region and time, until recently the science of it was unknown, and its proof is still hidden; and no one knows about it except a few small descriptions in the books of the Ancients, which are lost and have led to errors and uncertainty until the understanding of it is closed and its power is prolonged and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that you will live by this order of the treatise in the second way of explanation and declaration and abbreviation; and because it comes with the forms of the tools of cauterization and other instruments of the work as it is for addition to the declaration, and for its preparation, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In ancient times, the reason why a skilled artist was not immediately recognized as such in our time is because the art of medicine is long and complicated, and it requires one to be exercised in the science of anatomy, which was recently discovered by Galen before he knew the usefulness of the members and their forms; and also knowing the bones, nerves, and ligaments, and the number of them, and their hardness; and the pulsating veins, quiet veins, and the locations of their emissions.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates said that a name is not necessary, but in the work itself, and more so in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Moreover, we have already mentioned this in the introduction of this book; for those who do not know what we have said about anatomy, will not be able to avoid error by which many men die, as I have seen too many of them, because they are formed in this science and get their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When a doctor was folly enough to have incurred an abscess called phlegmon in the neck of a woman, and incised some arteries of the neck so that much blood flowed into the woman, causing her to die between them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw that the dragger had taken a stone from a man who had suffered from it in his state, and the stone was large, and he came to him and tried to remove that stone with a trocar, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And he had already called for someone to extract that, and saw that due to the size of the stone and the position of the patient, it was impossible to save him.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor who took a fee from a duke of our land for surgery, and went to a very skilled blacksmith who was needed for the fracture in the joint of him; and because of his ignorance, he extracted the fracture, on the plate, with pulleys and levers of strong structure, and did not allow the plate to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then remove the bedclothes according to his desires, and remove the reins, and remove the leeches for several days and order that he be bled; and while the cushion and foot are infected with apostematous pus, and reach perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And then he was called to it, and prepared to remove the bandage, and thus obtained peace and relief from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, gangrene was already confirmed in the member, so it could not be restrained from that one, and did not cease to spread the gangrene in the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor came who pierced an apostematic cancer, and it became ulcerous after several days, until the fire magnified the evil of him and he died.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the cranium is cleansed of melancholic humor, so that it does not reach him with iron from all sides, but rather that the member that suffers be held from all sides.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	For that reason, sons, it is necessary for you to divide the operation into two parts: one in which health is associated, and another in which the work is done in the best possible conditions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already seen that in all places where this book is found, in which the operation is performed with error and fear; therefore it is necessary for you to guard against that and lay aside that one, so that people do not come to speak badly of you and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with solicitude and protection of God, and your patients with success and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method for the grace of God to lead to salvation and praiseworthy succession, and lay aside the terrible diseases of difficult healing, and keep your weapons from that which makes you afraid, so that your faith and name do not abandon you: for more remains to your glory, and further in the world and behind in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	In some of his writings, he mentions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	He does not mention the treatment of bad patients, because bad doctors do not remember.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already dedicated this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the book, and the first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by the foot, in the forms of instruments and in the handles of cauteries, and of what is necessary in the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of drying and perforation, and of ventilations, and of plasters, and of the extraction of worms and similar to those, all chapter ordered and arranged by the forms of instruments.
Divisio de la tersa partida.	The division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and of dislocation, and of the cure of tortion and similar to those; chapter ordered by the foot, and by the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of a pointed cautery and sharp medicine and remembrance of the operation.
Am aquel comensa le tractat de tot le libre.	In that part begins the treatise on all free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you know the quality of those joints of that cautery and of its handles, and in what condition it is prohibited to use the cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech about the quality of the joint of the cautery and of its handle is a long and prolix, and subtle for those who know, and secretly hidden; and from there they have spoken much about wisdoms, and of them they have disagreed, and to me it is a small part of their speeches, I fear for the length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that the cautery compares to all universal condition, which is matter or its matter, except for two conditions, which are conditions of the tail matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the condition of the tail and dry matter they disagree; for one said that the cautery is suitable for that, and the others said the contrary of that, which is not convenient in illness which is due to quality and dryness, because the nature of fire is quality and dryness, and it is not convenient that illness tail and dry matter has that which is cauterized and dry is healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And say to that one who says the opposite of that one, that cauterization is greatly beneficial in all sickness and dryness that occurs in the bodies of men, because when you compare the body of a man with the moisture of it to the appearance of the fire, the body of a man is wet.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that one, that he has experimented this for me several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But he may not come over that one who has already been proven and exercised in the capital of cauterization by previous exercise, and who knows the diversity of the appearance of men and the disposition of their diseases in their members, and the causes of those, and their accidents, and the space of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other appearances, you do not fear that one, and especially in diseases that are wet and moist, because all doctors have agreed on those, and they do not disagree in the benefit of cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my children, that the secret of healing by fire and its goodness is that by cauterization with fire, because the fire is simple, the action of which does not reach beyond the member that is cauterized and does not hurt the other member unless it is adjusted slightly without causing harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	When the action of medicine has reached those parts of the body that were previously affected, and it brings pain to the sick member, it is difficult to heal and often causes more harm.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	However, fire, due to its great power and good substance, does not cause this but rather an excess, and we have known this through experiment and the length of time it has been studied as an art over the truth of causes; and for this reason you are excused from the length of this speech. If not, if it is not read aloud in this pause, and the quality of its operation in the bodies and its expulsion by which it expels evils, the philosophical demonstration of speech, which would be sharpened in your thoughts.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they should not be separated from the time in which it is appropriate to make a cautery and pause at the best time of primevera.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And you say that cautery is appropriate at all times, because the harm caused by time is submerged in the benefit of which the cautery is thrown, and more so if the cautery is for pain or necessary pain, quickly and firmly, which would not suffer delay because it is feared that those who come with malice are greater than small harm coming through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if you do not catheterize in your feet, or, sons, that is only estimated by the common people and foolish doctors, so it is not always necessary to treat that malady with cauterization, and they stop that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not always present that they fear for that, because cauterization is only in a place of medicine which alters the appearance and dries the moisture, which are the cause of why pain comes.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But however, cauterization is often used in medicine for the sake of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his malady returns in some time of the day, according to the appearance of the patient and the location of his malady, and its virtue, and that which is prepared in the body of him from the aggregation of the superfluities in him, and that which is obtained by him in his acquisition of foods and similar causes; but the malady in which cauterization is administered is a subtle malady of few superfluities and moisture, such as toothache for pain and similar to that, possible it does not return in him, but that which is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	More commonly, the pointed cautery is the last remedy of medicine, and it is the correct term, not what I understand in it, because they believe that there is no cure that can be achieved by this medicine or by another cause to use a cauterizing needle.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is in the opposite; and they understand that the pointed cautery is the last remedy of medicine is only when administering methods of treatment in some diseases, and those medicines do not help, and at the end of the cause, they administer a cauterizing needle, and it helps to that.
