Ayssi comensan las paraulas de Albucasim .	And now begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, students, I have completed this book for you, which is the last of the science of medicine, because of its completion and because of its explanations and because of its declarations, I believe that I have completed what I promised to you in this treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of amputation has been completely absent from our region and from our time, until quite recently when the science of it was rediscovered, and its proof was established; and no one knew about it except a few small descriptions in the books of the Ancients, which were mostly lost and led to those errors and uncertainties until the understanding of it was established and its length was extended and its art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I believe that I have lived up to the order of this treatise in the second way of explanation and declaration and abbreviation; and because it comes with the forms of the tools of cautery and of the other instruments of the work, which is necessary for addition to the declaration, and for its preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	If the reason why one is not a good artist in their own craft in our time is because the art of medicine is long, and that it requires one to be exercised in the science of anatomy, which was recently rediscovered by Galen who knew the important parts of the members and their forms, and their conjunction and separation; and had knowledge of the bones, nerves, and ligaments, and their number, and their hardness; and of the pulsating veins and quiet ones, and the locations of their emissions.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that reason, called Hippocrates, who said that one name is not enough, but more so in the work itself, and especially in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Moreover, we have already said about him in the introduction of this book; for those who do not know what we have said about anatomy, they will not avoid falling into error by which many men have died, as I have seen too many of them, because they are formed in this science and get their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When I saw a doctor who was folly and had incurred an abscess called hydrocephalus in the head of a woman, and had incised some arteries of the head so that great pus flowed into it, causing the woman to die among her companions.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who almost choked on a stone from a man who had swallowed it in his state, and the stone was large, and he came to him and tried to remove that stone with a thin tube, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already called for help to extract that one, and I saw that because of the size of the stone and the position of the patient, it was known that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a fee from a duke of our land for surgery, and went to a very skilled blacksmith who was needed for the fracture in his thigh; and because of the doctor's ignorance, he extracted the fracture, on the wound, with pliers and strong structures, and did not let the wound breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Approach the dressing according to his wishes, and approach the bandage, and approach the ointment for several days and give orders that it be removed; and during this time, the dressing and the foot will become infected, and reach a critical state.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you are called to him, and prepare to remove the bandage, and achieve calmness and ease of his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the decay was already confirmed in the member, so it could not be stopped and did not cease to spread the decay in the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor came who pierced an abscess with cancer, and it became ulcerated soon, until the fire magnified the evil of him and he died.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cranium is pure of melancholic humor, so it does not allow it to reach him with all iron, but rather the member that suffers from all should be held.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that reason, children, it is necessary for you to operate in two different ways: one in the operation that is associated with health, and the other in the work that is performed in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already seen that in this book, wherever there is an operation involving error and fear; therefore it is necessary for you to guard against that and lay aside the other, so that the fools do not come to speak to you and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And then take your weapons with solicitude and protection from God, and your patients with patience and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method by the grace of God for their salvation and praiseworthy succession, and lay aside the terrible illnesses that cannot be cured, and keep your weapons from that which causes you to fear, so that your faith remains in you and does not abandon you: because more will remain to your glory, and more in the world and after to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	I have also discussed some of these things in other books:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad patient, because evil doctors will not be remembered.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already dedicated this book to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the book, and the first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered within the book, in the forms of instruments and in the irons of cautery, and of what is necessary for the operation.
La divisio de la segonda partida.	The division of the second section.
