Ayssi comensan las paraulas de Albucasim .	And now begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, if you have completed this book, which is the last of the science of medicine, for the completion of its purpose, and for its explanations, and for its declarations, it seems to me that I have completed what I promised to you in this treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of castration was prohibited in our region and time, until the science of it was greatly unknown, and its existence was hidden; and no one practiced it except a few small descriptions in the books of the ancients, which were mostly errors and uncertainties until the understanding of it was closed and its length and art were extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will live in the order of this treatise in the second way of explanation and declaration and abbreviation; and because it comes with the forms of the tools of cautery and of the other instruments of the work, which is necessary for addition to the declaration, and for preparation of it.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In ancient times, the reason why a skilled surgeon did not immediately know how to use their hand in this art of medicine was because the science of anatomy was long forgotten, and it was necessary to relearn it through the knowledge of the joints and forms of the members, and their conjunction and separation; and to understand the bones, nerves, and ligaments, and their number, and their connection; and of the pulsating veins and quiet ones, and the locations of their exit.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And as Hippocrates said that a name is not important, but in the work itself, and especially in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned that person in the introduction of this book; because those who do not know what we have said about anatomy will not avoid errors that cause people to die, as I have seen too many of them, because they are formed in this science and obtain knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a doctor who was foolish and had incurred an abscess called carbuncle on the neck of a woman, and he incised some arteries of the neck so that great blood flowed into her body, which caused her to die among the most.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw that the dragon had swallowed a stone from a man who had died, and the stone was large, and it came to him and passed through his stomach, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already called for someone to remove it, and I saw that because of the size of the stone and the position of the patient, I knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor took on the case of a duke from our land for surgery, and he was brought to a skilled blacksmith who was experienced in fractures; and because of the doctor's ignorance, he passed through the fracture, over the wound, with pillows and strong structures, and did not allow air to the wound.
