Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, sons, for I have completed this book for you, which is the last of the science of medicine, by the completion of it the end is achieved in it, and by the expositions of it, and by the declarations of it, it is my view that you complete it with this treatise, which is part of the operation with me, that is, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation with me is prostrate in our region and in our time entirely private, while many risk the science of it, and its vestiges are held captive; and there remain of it only some small descriptions in the books of the Ancients, which have been altered and have become subject to those errors and uncertainties because their clauses the understandings of it and are elongated the force of it and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen to me that you bring that to life with the order of this treatise in that according to the way of exposition and declaration and abbreviation; and for that it may come with the forms of the tools of cautery and of the other instruments of the work as it is by addition of the declaration, and by preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause for which no one has been found a good artificer with his hand in this our time, is because the art of medicine is long, and that it requires the actor to be exercised before it in the science of anatomy, which reconciles Gualia because it knows the joints of the members and the forms of those, and the conjunction and separation of them; and to have the knowledge of the bones, the nerves and the tendons, the number of those, and the egress of them; and of the pulsating veins and the quiet ones, and of the places of the emergence of them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that reason, Hippocrates says that with a name is little, but in the work much, and most of all in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But now we have already said that in the introduction of this book; for whoever is not learned in that which we have said of anatomy, is not evacuated that he will not fall into error for which many men die, as I have seen too many of those, who some are formed in this science and throw themselves from that their science and their experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and inexperienced physician who had incised an abscess scrophilos in the neck of a woman, and incised some arteries of the neck so that great blood flowed while the woman died among the hands of him.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who prescribed that the trachea of a man who had been processed in his state, and the stone was large, and it came to him and extracted that stone with a piece of the bladder, so that that man on the third day died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already been called to extract that, and I saw that because of the greatness of the stone and because of the disposition of the patient, I knew on him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who was taking a stipend from a duke of our land for surgery, and he came to a black crusted man who was broken in his hip; and prepared the physician with his ignorance, extracted the fracture, over the wound, with splints and splints with strong structure, and did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he dissolved it according to his desires, and then he ligated it, and then he left it for some days and commanded that we untie the ligament; and thus it came to be that the hip and the leg became inflamed, and it came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to untie the ligament, and achieved tranquility and then eased his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however, already corruption was confirmed in the limb, so that I could not restrain it, and did not cease to wander the corruption in the limb until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who perforated a cancerous abscess, and it was ulcerated after some days, until the malignancy of it was magnified in its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the cancer is pure of melancholic humor, so that it does not come to it with iron at all, but that it be in a limb which suffers that it be held captive by all.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for that reason, sons, it is necessary for you that the operation with me be devised in two divisions: that is, in operation to which health is associated, and in work with which there is peril in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already insisted on this in all places of this book in which I bring operation in which there is error and fear; for it is necessary for you to guard this and leave that, so that the foolish ones do not find a way to speak and to dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take your weapons with diligence and with the protection of God, and your patients with facility and with firmness.
