Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Therefore, as Albucasis has completed this book for you, which is the final part of the science of medicine, by completing it you will achieve its end, and by reading it, and by understanding it, I see that I should complete this treatise for you, which concerns surgery on the hand.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because surgery of the hand is entirely abandoned in our country and in our time, due to great peril, the science of it has diminished, and its tools have been lost; there remain only a few brief descriptions in the books of the ancients, which are mutilated and lead to error and confusion until their intentions are clarified and the strength of it is extended and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that I should bring this treatise to life according to the method of exposition and clarification and abbreviation; so that it comes with the forms of the tools for cauterization and other instruments used in the work, as well as the addition of clarification, and preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason that a good artisan cannot be found in this our time is because the art of medicine is long and requires the practitioner to have been trained in anatomy, which includes knowledge of the joints and the shapes of the members, as well as their connection and separation; having knowledge of bones, nerves and ligaments, as well as their number, and their origin; and the recognition of arteries, veins and quiet veins, and the locations for bleeding them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And as Hippocrates said in his work, "a name is much, but in small things, and especially in the art of surgery."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And we have already said about this in the introduction of this book; because whoever is not knowledgeable in anatomy cannot avoid making errors that can lead to the death of men, as I have seen many times, for some are uneducated in this science and trust in their own ignorance and lack of experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because I saw a foolish and experienced doctor make an abscess in the neck of a woman, and cut some arteries in the neck, which caused a large amount of blood to flow until the woman died among her relatives.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who believed that he could pull a stone from a man who was in agony, and the stone was large, but it came out and he cut a piece of the bladder while doing so, due to which the man died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called for him to extract it, and saw that due to the size of the stone and the patient's condition, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took money from a duke of our land for surgery, and then operated on a black slave who had fractured his thigh; the doctor prepared him with his ignorance, extracted the fracture through an incision, using pulleys and splints with strong construction, but did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	He dressed the wound according to his desires, bandaged it, and left it closed for several days and commanded that we not undress him; until the thigh and leg became abscessed, and led to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and when I undressed the bandages, he found relief from his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption had already been confirmed in the member, so that he could not stop it, and the corruption continued to spread throughout the member until the patient was in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who made an abscess cancerous and it became ulcerated after several days, until the evil of it was greatly magnified in the lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is because the cancer is pure of melancholic humor, so it does not need to be treated with every remedy, but rather an affected member that receives all its hostility.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my sons, it is necessary for you that surgery of the hand should be divided into two categories: one is associated with health, and the other involves great risk in its execution.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already examined this in every part of this book where there is an operation involving error and fear; therefore it is necessary for you to be aware of this and to avoid it, so that the foolish do not deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take up your weapons with caution and protection from God, and your patients with joy and steadfastness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for the grace of God to achieve salvation and praiseworthy success, and leave behind terrible maladies that are difficult to heal, and abandon your fears, so that you do not waver in your faith or your name: for more remains for your glory, and it will last in this world and beyond your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Guidance has already been given in some of its teachings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat bad disease, so that wicked doctors do not become renowned."
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already divided this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Commence la division du livre et du premier de la première partie.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the feet, in the shapes of instruments and the types of cauteries, as well as what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter is about blisters and perforations, about bleeding and ulcers, and about the extraction of boils and similar afflictions, all categorized and arranged in the shapes of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter is about restoration and dislocation, as well as the treatment of twists and similar afflictions; the chapter is dedicated to the feet, and organized according to the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	With the use of a cautery heated by fire and with sharp medicine, remember the operation.
Am aquel comensa le tractat de tot le libre.	With this begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Know what the quality of the juxtaposed components of that cautery and its potential disadvantages are, and in which circumstances the use of a cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore say that the discourse on the quality of the component of the cautery and its disadvantages is long, detailed, scientific, and somewhat cryptic; many wise men have spoken about it extensively, and they disagree on the subject, and I shall only touch upon one of their discourses, fearing to prolong the discussion.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore say that cauterization generally concerns all material or materials, with the exception of two cases, which are cases where caution is contraindicated.
