Ayssi comensan las paraulas de Albucasim .	Thus commence the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Since I have completed this book for you, which is the last of medical science, by doing so it will be perfected in you, and by studying it, and by declaring it, I believe that I should transmit this treatise to you regarding surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since surgery is completely absent in our region and our time, there is a great danger to science itself, as well as the instruments of it; not only will they disappear, but they have already been obscured, reduced to a few scattered descriptions in the books of the ancients, which have become obsolete and led to errors and confusion until the intentions of them are misunderstood and their strength and art are weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I see that I should organize this treatise in an orderly manner according to the method of explanation, declaration, and abbreviation; moreover, it is necessary to include the forms of the cautery instruments and other tools required for the work, as well as their preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	One reason that a good craftsman with his art cannot be found in this time is that the art of medicine is long and requires its practitioner to be well-versed in anatomy, which includes knowing the joints and forms of members; the conjunction and separation of them; having knowledge of bones, nerves, and ligaments, and their number, as well as their arrangement; and understanding the pulse and quiet veins, and their locations.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And according to Hippocrates, a word is a small thing, but in the work of the hand it is much more important.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Moreover, we have already said about this in the introduction of this book; for whoever is not familiar with anatomy will inevitably fall into error and endanger people's lives, as I have often seen many who were educated in this science but lacked experience in it.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and experienced doctor make an abscess called scrophulus on the neck of a woman, and cut some arteries in her neck so that much blood flowed out until the woman died among them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who thought he could extract a stone from a man in his condition, and the stone was large; it came out and he cut a piece of the bladder while doing so, resulting in the man dying on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called for help to extract it and saw that due to the size of the stone and the condition of the patient, he knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who received wages from one of our dukes for surgery, and he treated a black-skinned man with a fracture in his thigh; and, armed with ignorance, the doctor cut through the fracture, using sutures and staples with a strong structure, but did not allow the wound to breathe.
