Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	In this manner, O sons, since I have completed this book for you, which is the last of the science of medicine, by its completion it will be understood, and by its expositions, and by its declarations, it is to me apparent that I should commit it to you as a treatise on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the art of surgery is in our region and in our time greatly neglected, thus bringing great peril to the science of it and the instruments of it are lost; only a few small descriptions remain in the books of the ancients, which have become obsolete and led to errors and superstition until its intentions and meanings are veiled and its power and art elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It is apparent to me that I shall revive the order of this treatise according to the way of exposition and declaration and abbreviation; and because it will come with the forms of the cautery instruments and the other tools of the work along with the addition of the explanation, and preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no good craftsman is found with his art in this our time, is because the art of medicine is long and that its practitioner must first be exercised in the science of anatomy, which includes knowledge of the members and their forms, as well as their connection and separation; and have understanding of bones, nerves and ligaments, and their numbers, and their growth; and of pulsating veins and quiet ones, and the sites of their emergence.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason it is said by Hippocrates that a name is nothing, but in the work small and particularly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said of this in the introduction of this book; since whoever is not knowledgeable about anatomy will not be excused if he falls into error, and thus men will die from it, as I have seen many times, because others are misinformed about this science and deny it and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Since I saw a foolish and experienced doctor incise an abscess of the neck on a woman's collarbone, and cut some arteries in the neck so that much blood flowed out before the woman died among her family.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who believed that he could extract a stone from a man who was in pain, and the stone was large, and it came to him and extracted the stone with a piece of the bladder, causing the man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called for it to be pulled out, and I saw that due to the size of the stone and the condition of the patient, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took payment from a duke of our land for surgery, and went to a blacksmith who was in debt to him due to a fracture in his hip; and the ignorant doctor prepared him by extracting the fracture through the wound with tendons and spikes with strong construction, but did not leave space for breathing.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And loosen according to his wishes, and lay him flat, and allow him to lie still for several days and command that we release him from the bindings; and remain in this state until the thigh and leg are abscessed, and it leads to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, prepared to release the bindings, and achieved tranquility and allowed him to endure his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption had already been confirmed in the member, so it could not be stopped, and the corruption spread throughout the limb until the patient died.
