Praefatio.	Prefatory.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have finished with you, my son, this book which is the last of my works on medicine, completed with its end in view, following the explanations and affirmations of this treatise, I wish to complete it for you with this treatise which is a part of the operation, that is, surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery with the hand is now abandoned in our time and is a private matter: until perhaps its science is lost and its practice has ceased, except for brief notices in ancient books, which have been altered by the hand: and there have happened to be mistakes and hesitation, until its intentions have been closed and its purpose prolonged: I have deemed it necessary to provide this treatise with an orderly arrangement of its contents, according to its position and affirmations, and with brevity: and to include the forms of instruments, such as the Cautery and other implements, with their specifications and their preparation which is necessary
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	However, because a skilled artisan of this sort is not to be found easily in our time with his hand: for the art of medicine is long, and the author must exercise himself beforehand in the science of anatomy, as Galen has said, until he knows the functions of the limbs, their forms, and their connection, and separation, and has an understanding of the bones, nerves, and lacerations, and their number, and their exit, and the pulse of veins, and quietness, and the locations of their exits.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	For this reason Hippocrates said, "A name is much more than a name, and work is little, especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have indeed mentioned this at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For one who is ignorant of what we have said concerning anatomy will fall into error, and will endanger human life: as I have seen many who have learned this science carelessly and without study or experiment
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Why is it that the doctor has secured the scrofula in the woman's neck with a stiff ligature, and has thereby obstructed some of the arteries in the neck? Because of this, blood flows from the woman until she dies in her hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And the doctor observed another one who had presumed to extract a stone from the bladder which was in the bladder, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He went to him and extracted it with the bladder's husk
Quare mortuus est uir in tertio die.	Because the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I too was called to extract it: and I saw from the size of the stone and the condition of the patient that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who took hold of a certain Duke of our land because of medicine: and it happened to a black eunuch who was with him, that he fractured his leg near the heel: and the doctor, with his ignorance, bound the fracture with vinegar and nails, and tight bands, and did not let the wound breathe.
Deinde absoluit eum secundum desyderia sua.	And he died according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he sent him away for a few days, and gave him orders not to loosen the ligament: and he stood thus until the swelling of his leg had gone down, and his foot and leg, and came to an end
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was called to him again: and I set about loosening the ligament: and there ensued peace, and he was freed from his pains
