Praefatio.	Prefatory Note.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have finished with you, my son, this book which is the last of my works on medicine, completed with the aid of your contributions, I have reached the end of my studies and pronouncements, and I have undertaken to complete it with this treatise which is a part of the art of surgery, that is, medicine with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since surgery in our age is a work of the hands which is being neglected in our times, and since its secrets have vanished from the world, except for brief accounts in the ancient books which have become altered by the hands of men: and there has arisen from this an error and hesitation, until the intentions of the art have been closed and its spirit prolonged: It is necessary for me to bring together in this treatise the order of this art according to its position and pronouncements, and its abbreviations: and to explain the forms of the instruments of cautery and other implements of surgery, in accordance with the pronouncements and their preparation which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why one does not find a perfect artist of this kind in our age is that the art of medicine is vast, and the author must be exercised in the science of anatomy before he can understand the movements of the limbs, their forms, and their connection, and their separation, and to have knowledge of the bones, nerves, and lacerations, and their number, and their exit, and the pulsation of veins, and quietus, and the loci of their exits
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for this reason Hippocrates said that the name is great when the work is little, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have already mentioned this at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is ignorant of what we have said concerning anatomy will fall into error, and will cause harm to men: as I have seen many of them who have learned from this science and practice it without science or experience
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What is this, because I saw the doctor seize the scrofula from the woman's throat and it caused some arteries in the throat to burst: why did the woman's blood flow until she died between her hands?
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who presumed to extract a stone from the bladder, which was in the bladder, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	It came to pass that he extracted it with the bladder's husk
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
