Praefatio.	Preamble.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed to you, son, this book, which is the last of science in medicine with its supplement, and I have finished in it from its expositions and declarations, it has seemed to me that I complete it to you with this Treaty, which is part of surgery, that is, surgery by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation by hand is laid out in our region and in our time exclusively: until perhaps science of it has perished, and its trail has been lost: and there remained from it, except for a few descriptions in ancient books, which hands have altered: and it happened to them error and hesitation, until their intentions were closed and its will was drawn out: It seemed to me that I could make it clear with the order of this Treaty in it second according to exposition and declaration and abbreviation: and I could bring it into being with forms of instruments cautery and the remaining tools of the work: since it is fitting from its addition and from its propering that what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Because because for which there is not a good craftsman of his hand with it in our time: because the art of medicine is long, and the author of it needs to be exercised before it in the science of anatomy which he told Galen, until he knows the joints of limbs, and their forms, and their connection, and separation, and has understanding of bones, and nerves, and snakes, and number of them, and their emission, and throbbing pulses, and quiet, and places of their exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And therefore said Hippocrates, whose name is much, and work is little, and especially in the art of hand.
Nos uero iam diximus de illo in introitu huius libri.	But we have already said about that at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since who does not know that we have said about anatomy, does not expunge, except he falls into error, which people bring about: as I saw many of them, who form themselves from this science, and throw themselves into it without knowledge, and without experimentation.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	Which is because I saw a doctor with a dull instrument incise an aposteme of the scrofulous in the woman's neck, and cut some arteries in her neck; why the blood of the woman flowed until she fell dead between her hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who thought that he would extract a large stone from the woman's bowels, which had lain for a long time; and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he approached it, and extracted it with the help of a hook.
Quare mortuus est uir in tertio die.	Why the man died on the third day.
