Praefatio.	Preamble.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed for you the book, Son, of what is last in science and medicine with its supplement, and having finished it from its explanations and declarations, I found it necessary to complete it with this treatise which is part of surgery, that is, of the art of the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with the hand is set down in our region and at our time entirely private: until perhaps the science of it has perished, and its track has been lost: and there remain of it only a few descriptions in ancient books, which have been modified by hands: and it has happened to them error and hesitation, until their intentions have been closed and its meaning has been extended: It has seemed to me that I should make clear it with the arrangement of this treatise according to two things, that is to say, according to explanation and declaration, and abbreviation: and that I should bring to light with forms of tools Cauteries, and the rest of surgical instruments: for as much as it is necessary to add a declaration and to proclaim its proper meaning.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Because of the reason that a good artisan with his hand is not found in our time: for the art of medicine is long and an author needs to be exercised before it in the science of anatomy which Galen tells of, until he knows the joints of limbs, and their forms, and their connection, and separation, and has knowledge of bones, and nerves, and vessels, and their numbers, and their expansion, and beating pulse, and quietness, and places of departure.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for this reason Hippocrates said that a name with a name is much, and with work it is little, especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	But we have already spoken about him at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since who is not aware of that which we have said about anatomy, does not clear up, but falls into error, in which men fall by forming themselves from this science, and boast of it without knowledge and without experiment.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What is, for I saw a dull physician strike an escrofulous apophelitic patch on the woman's neck, and he struck some blood vessels in the neck: why did the woman's blood flow until she fell dead between her hands?
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who assumed that he would extract a stone from the man's genitals, which had been causing him trouble for a long time, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he went to him, and with a twig of holly he extracted it himself.
Quare mortuus est uir in tertio die.	Why did the man die on the third day?
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I had already been called to extract it: and I saw from the great size of the stone, and the condition of the nurse, that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician who was taking a fee from the Duke of our land for medicine: and there happened to be a black eunuch with him, who was sitting by his side, and he broke the bone in his thigh near the heel; and the doctor persisted in his ignorance, and he bound the fracture to the shin with strong strands of thread, and did not cease from the wound's discharge.
Deinde absoluit eum secundum desyderia sua.	Then he set him free according to his desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he dismissed him after a few days and commanded him not to loosen the bonds; and he stood thus until his leg and foot were withered away, and came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	So I was called to him: and I eased the bonds; and there followed a time of peace, and he was free from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the corruption had already been confirmed in the member; and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So then the corruption ceased to walk in the member until it died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician who pierced an escrofulous ulcer; and it was ulcerated for some days, until the disease of it was magnified with his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	What is, for when it is a pure cancer from melancholy humors, then one should not approach it at all with iron, unless it be in a member that can bear it, so that it may be cut off entirely from it.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And for this reason, I tell you, it is necessary for you to know that surgery is divided into two parts: that is, the operation which is associated with salvation and the operation with which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already aroused in all places of this book, where surgery has come, in which there is terror and fear.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Why is it necessary for you to be careful of that, and to avoid it: so that you do not find a stupid ear when speaking and dishonoring.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore take a measure with care and protection, and bring the sick of you with ease and firmness, and use a better way, which is led by the grace of God to salvation and a worthy succession: and remove terrible diseases difficult to heal: and remove your souls from that which makes you afraid, so that it enters upon you a hesitation in your faith and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it remains more remaining to our glory, and sublime in the world, and lastly to the quantities of you.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galenus has already said in some of his advice.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not heal bad health: do not name yourself a doctor of evil.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	I have already divided this treatise into three chapters.
Capitulum primum.	Chapter one.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Chapter one. On the caution with fire, and the caution with acute medicines, raw materials, and the order from the head to the feet, and the shapes of instruments, and tools: and whatever is necessary in the operation.
Capitulum secundum.	Chapter two.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Chapter two. On section and perforation, phlebotomy and wound-binding, and ulcers: and extraction of arrows, and similar things: and all the chapter in order from the shapes of instruments.
Capitulum tertium.	Chapter three.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration and dislocation, and cure of twists, and similar things: chapter in order from the head to the feet, and the shapes of instruments.
Soli Deo Gloria.	Glory be to God alone.
Liber Chirurgici Albucasis.	Book of Surgery by Albucasis.
Pars I.	 Liber chirurgicus parva faciendum est. 1. De oculis et auribus et naso et maxillo et dentibus 2. De manu et pedibus 3. De sinus maxillae et ethmoideis et sphenaene 4. De fracturis. 5. De venosis et arteriais. 6. De venis. 7. De nervis et tendinis 8. De osse bus et artichitis 9. De ulceribus 10. De morbis internis. Pars II. 1. De partibus corporis humani. 2. De motu musculorum. 3. De ossibus et cartilagineibus. 4. De tendinis et ligamentis. 5. De venosis et arteriae. 6. De nervis. 7. De viscis innominatis. 8. De uteri et uterinus. 9. De vaginae. 10. De mastite.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Pars III. 1. De venitis. 2. De ulceribus. 3. De morbis externis. 4. De fracturis, cum cauterio. 5. De motu colli. 6. De pedum calceatione. 7. De iuuventi et senescenti.
Caput I.	De Ijuamento: 1. Si cu ferro, densis in clypeum ferri, et adstante aurice, naso, maxillo, dentibus, ut in iuuamento, cauterium facias. 2. Si uel auro, densis in clypeum auri, et adstante, sicut supra. 3. Si in pedem calceatione, in pedem cum calceatiis densis, et adstante, sicut supra.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	4. Si in maxillo aut in oris circumdatione, aut in auribus, aut in naso, aut in dentibus, aut in labris, aut in oris interiori, aut in laringe, aut in glottta, aut in uvulis, aut in vobis qui estis medici, scitote complexiones quae ad iuuamenta et nocumenta pertinentia: 5. Si in maxillo, aut in dentibus, aut in labris, aut in oris circumdatione, aut in laringe, aut in glottta, aut in uvulis, aut in vobis qui estis medici, scitote complexe
