Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, having completed this book, the last of medical science, through its logical sequence it has reached its end, and considering its exposition, its explanations, and its declarations, I believe you have accomplished for yourselves this treatise, which is a part of the greatest operation, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery, being the most complex and delicate of medical practices, it has been largely abandoned in our region and time, as its science is deemed dangerous and its methods outdated; only a few brief descriptions can be found in the books of the Ancients, which have led to errors and misconceptions regarding the understanding and application of its principles and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I have found it necessary to revive the order of this treatise through its second method of exposition and declaration and abridgment; and so that the forms of cautery tools and other surgical instruments be added to the declarations, and for the preparation of the patient, which is essential.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why our skillful physician does not always achieve good results in this our time is because the art of medicine is very complex, and requires that he be well-versed in the science of anatomy to understand the growth of the members and their forms, as well as their conjunction and separation; he must have knowledge of bones, nerves, and ligaments, know their names and how they are expressed; and of the pulsating and inactive veins, and the places where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that reason, Hippocrates says that the name is appropriate, because in practice it is simple but more so in the art of healing.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of this in the introduction to this book; for whoever is not acquainted with what we have said about anatomy, will be apt to fall into errors that may cause men's deaths, as you have seen many such cases where persons, though trained in this science, nonetheless fall into ignorance and misapprehension through lack of experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you see a foolhardy doctor who has incurred a scrofulous abscess in the thigh of a woman, and incised some of her thigh's arteries so that great pus flowed until the woman died from it among her pains.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you see another doctor who prescribed a stone from a man who had been suffering in his state, and the stone was large, he came to him and extracted that stone with part of his bladder, so that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called for haste to extract it, and you see that because of the size of the stone and the disposition of the illness, he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you see another doctor who was paid by a duke of our land to perform surgery, and he operated on a black crust that had a deep fracture in the thigh; because of the doctor's ignorance, he removed the fracture over the wound, with swabs and bandages with strong tension, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then, according to their desires, release the tension, rest, and after some days, command that we loosen the bandage; and thus it is also for the foot, which if not treated properly will lead to harm.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you will have called upon him, and he will loosen the bandage, and achieved is peace, and thus also the alleviation of their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Yet if the corruption is already confirmed in the member, so that it cannot be restrained, and it does not cease to spread corruption throughout the member until the danger of the illness increases.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And he saw another doctor who perforates a cancerous abscess, and it becomes an ulcer after some days, until the evil of it grows great under his lordship.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which causes is because the sharp pain is purely from melancholic humor; then it does not cover that it will come to him through all, but rather it should be in the member which suffers that it entirely overcomes.
