Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Avicenna.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, when you have completed this book, which is the last of medical science, through the fulfillment of its purpose it has come to an end, and through its explanations, and through its declarations, I believe you will find great satisfaction in this treatise, which is a part of the most important operation, namely, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery, considered the most important operation in our region and in our time, is shrouded in great secrecy, as knowledge of it has declined and only a few brief descriptions can be found in the books of the Ancients, which have led to the development of many errors and misconceptions, as the understanding of its principles is closed, and its power and art are obscured.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I have found it necessary to revive the order of this treatise through a second method of exposition and declaration and abbreviation; and in order to include illustrations of cautery tools and other surgical instruments used for the work, as an addition to the explanations, and preparation, which is essential.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why our artful physician does not employ his hand as he should in our time is that the art of medicine is long and requires expertise in anatomy to understand the growth of members and their shapes, the union and separation of them, the knowledge of bones, nerves, and cartilage, and the names of these, and the extraction of them; also of pulsing veins and static ones, and the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that the name is misleading, but in practice it is small, especially in the art of healing.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of this in the introduction to this book; for those who are ignorant of what we have said about anatomy, it is not to be wondered that they fall into errors from which men may die, as you have seen many such people formed in this science but lacking in true knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	You see a foolish doctor who has cut an infected ulcer on the thigh of a woman and cut some arteries in her thigh so that much blood flows inside, causing the woman to die between his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you see another doctor who put his tongue in the mouth of a man who had been biting his teeth, and the tooth was large, and he managed to pull it out with a piece of the jawbone, so that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already urgently extracted it, and you see that due to the size of the tooth and the state of the patient, you know that he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you see another doctor who was hired by a duke from our land for surgery, and he operated on a black castrated man whose thigh had a fracture; due to the doctor's ignorance, he removed the fracture, over the wound, with saws and nails with strong tension, and did not allow the wound to breathe.
