Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Avicenna.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my children, as you have completed this book, the last of medical science, by the completion of which its end is achieved, and through its explanations, expositions, and declarations, it seems to me that you have fully grasped this treatise, which is a part of the most important operations, namely, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery, considered the most important operation in our region and time, is shrouded in great secrecy, as knowledge of it has declined; and there remain only a few small descriptions in the books of the Ancients, which have led to much confusion and error regarding its principles and practice.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it appears to me that you have revitalized the order of this treatise through a second method of exposition and declaration and abridgment; and so that the forms of cautery tools and other instruments for the work may be added as an explanation, and to prepare for it, which is a necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause for which our skilled physician lacks mastery in this our time is because the art of medicine is complex, and he has not been trained in the science of anatomy, which reveals the youthfulness of the members, their forms, their conjunction and separation; the knowledge of bones, nerves, and ligaments, their names, and their extraction; the pulsation of the veins, the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that the name is fitting, for in practice it is small, but most importantly in the art of healing.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already discussed this at the beginning of this book; for those who are not knowledgeable about what we have said about anatomy, it is not to be wondered that they fall into errors that lead to the death of men, as you have seen many such individuals, some formed in this science and believing themselves experts through their experiences.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	You see a foolish doctor who has incurred a serious infection in the thigh of a woman by cutting into her flesh and incising some of the thigh's arteries, allowing great pus to flow until the woman died from it.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you see another doctor who quickly took a stone from a man who had passed it in his state, and the stone was large, and he brought it out and extracted that stone with a part of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called for haste to extract it, and you see that because of the size of the stone and the condition of the patient, he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you see another doctor who was paid handsomely by a duke from our land for surgery, and he took on a black crusty wound that was severely infected in the patient's thigh; because of his ignorance, the doctor extracted the fracture, over the infection, using plasters and strips with strong stretching, and did not allow the infection to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then free the patient according to their wishes, apply relaxation, rest, and bandages for some days, and order that the incision be closed; and so too, as soon as the wound in the foot has healed, prevent further harm.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you will have called upon him, and he will free the bandage, and thus achieve peace and permanently alleviate their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if the corruption is already confirmed in the member, then it cannot be restrained, and the corruption will continue to spread throughout the member until the patient perishes from the illness.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And see another doctor who perforates a cancerous abscess, and it becomes ulcerated after some days, until the fire of his malice intensifies in him under his lordship.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which causes is because the sharp pain is purely from melancholic humor; then it does not cover that it will reach him entirely with a ferrule, but rather that it should be in the member where it suffers most and is most vulnerable.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, my sons, it is necessary for you that the operation be divided into two parts: one is an operation associated with health, and the other is a work that poses danger to the most vital dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already encountered this throughout all parts of this book where operations are discussed that contain error and fear; therefore, it is necessary for you to take heed of these things and set them aside, so that people do not take advantage and shame you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take up your arms with diligence and the protection of God, and your patients with ease and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best means by the grace of God to attain salvation and glorious success, set aside the terrible illnesses that are difficult to cure, and abandon your weapons of fear, so that your faith and name do not desert you; for more remains to your glory, both now in this world and later behind your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Crack open some of their secret parts:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat bad ailments with bad medicines, so that bad doctors are not blamed.
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, starting with the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered on the feet, in the forms of instruments and in the tools of cautery, and anything that is necessary for the operation.
La divisio de la segonda partida.	Division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter deals with incisions and punctures, and the use of vents, plagues (possibly referring to pustules or sores), and the extraction of arrows and similar foreign bodies. It is entirely structured around the forms and uses of medical instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and realignment, and the treatment of twists and similar conditions; a structured chapter on foot inner structures and the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	With fire cautery and sharp medicine, and the recall of the operation.
Am aquel comensa le tractat de tot le libre.	At that point begins the treatment of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Understand what I have said about the quality of the fire of that cautery and the documents of it, and in what conditions cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, it is said that the discourse on the quality of cautery fire and the documents of it is long and prolix, subtle for knowledge, and secrets hidden; and much has been spoken about it by many wise men, and there are disagreements among them, and I will content myself with a brief part of their discourses, for fear of prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore it is said that cautery will relieve every kind of pain universally, whether it be physical or spiritual, except for two conditions, which are pains caused by their own nature.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the condition where pain is caused by a lack of matter (or dryness), some say that cautery is beneficial for it, while others claim the opposite, stating that cautery is not suitable for ailments caused by quality and dryness, as fire itself embodies quality and dryness, and it would be inappropriate to treat an ailment lacking moisture with heat and dryness.
