Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, now that I have completed this book, which is the last of the science of medicine, for the completion of which I have labored to its end, and through its explanations and declarations, it is clear to me that I have composed this treatise for you, which pertains to my surgical operations.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For our operation of the hand is practiced in our region and in our times as almost entirely private, although it is a science greatly needed, and its practice has been obscured; and only some minor descriptions remain in the books of the Ancients, which they modified to correct errors and hesitations that have closed off understanding of it and weakened its force and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is evident to me that I should revitalize that part of this treatise in accordance with the way of explanation and declaration and abbreviation; and for the sake of adding the forms of the cautery tools and other instruments of the work, which serves as an addition to the declaration and preparation thereof, a necessary cause for this.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	More the cause why a good craftsman does not apply his hand well in our time is that the art of medicine is long and that its practitioner must be trained in the science of anatomy which Galen knew well enough to understand the youth of the members and their forms, and the conjunction and separation of them; and had knowledge of the bones, the nerves, and the arteries, their number and their diseases; and of the pulsating and quiet veins, and of their places.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates says that in name is little, but more in the work and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	More we have already spoken of this in the introduction to this book; for who does not know what we have said about anatomy will not be free from error due to which many men will die, as I have seen too many of them. For some are formed in this science and proceed from that same science and its experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a physician who, being foolish and ignorant, incurred an apostematia scropholosa in the neck of a woman, and injured some arteries so that great blood flowed out, causing the woman to die among convulsions.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And there was another doctor who almost drained a stone from a man who had suffered in his condition, and the stone was large, and brought it to him and dried that stone with a piece of the bladder, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for the extraction of that, and I see that due to the size of the stone and the position of the patient upon him, he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And there was another doctor who took payment from a duke of our land for surgery, and he arrived at a blacksmith who had suffered a fracture in his thigh; and because of the doctor's ignorance, he extracted the fracture, over the wound, with pillows and splints of strong structure, and did not allow the wound to breathe.
