Ayssi comensan las paraulas de Albucasim .	Albucasim begins his words.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, I fulfill this treatise for you, which is the last part of the science of medicine. For its completion and because it is written by him, and due to its explanations and declarations, in my opinion, I complete that which I owe to you in this work, which is a segment of action on me, or surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation on oneself is confined in our region and in our times to being private, where there is great risk to the science of it, and its traces remain. There would be no knowledge of it except for a few small descriptions in the books of the Ancients, which correct many errors and misconceptions about it, since they are closed to understanding and extend the difficulty of doing it and the art itself.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive this order of the treatise according to the way of exposition, declaration, and abbreviation; and for it to come with the forms of the tools of cauterization and other instruments of work such as an addition to the declaration, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why it's hard to find a good surgeon on his own hand in our time is that the art of medicine is extensive. It requires being familiar with anatomy, as described by Galen, understanding the joints and their connection and separation; knowledge about bones, nerves, and muscles, including their number and how they are connected; and familiarity with pulsating and stationary veins, and where they exit from.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And that's why it was said by Hippocrates that in his name is the motion, but more so in his work and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this treatise; whoever does not know what we have said about anatomy will fall into error which could lead to the death of men, as I have seen too many cases like that. Some are formed in this science and abandon it for another science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I have seen a skilled doctor who accidentally caused a scrophulous abscess in the neck of a woman. He incised some arteries of the neck, resulting in great bleeding that led to her death among his patients.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who was almost to execute an operation on a man who had become emaciated in his condition. The tumor was large and spread to him, and he removed the tumor with a piece of bladder tissue. As a result, that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I already attempted to remove it, and saw that due to the size of the tumor and the position of the patient underneath him, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who received payment from the Duke of our land for surgery, and operated on a black soldier whose leg was broken; in his lack of knowledge, he removed the fracture, covering the wound with bandages and stitches of strong thread, and did not allow the wound to breathe.
