Ayssi comensan las paraulas de Albucasim .	This begins the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O you children, I give to you in this book what is the end of medical science, by its completion for them and through their exposition, and through their declarations, it seems to me that I have completed that which I have undertaken for this treatise, which is a part of my operation on myself, that being surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation on oneself is confined in our region and in our times to what is private, through which strength escapes the science of it, and its traces remain; and there would have been no continuation of it but for some small descriptions in the books of the Ancients, which rectify most errors and misconceptions among those rules where understanding of it is sealed and extends the effort and skill.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will regenerate this order of this treatise according to the method of exposition and declaration and abbreviation; and in order for forms of the tools of cauterization and other workshop equipment such as addition of declaration to come about, and to prepare them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why a good craftsman cannot be found for self-operation in our time is that the art of medicine is extensive. One must be familiar with anatomy before being able to practice it as an expert, which was taught by Gualia who knew about the joints and forms of limbs, their connection and separation; he also had knowledge about bones, nerves and blood vessels, their numbers, and how they are structured; about pulsating veins and quiet ones, and their locations.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And that's why Hippocrates said in his work, more in the small scale, and much more in the art of self.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we have already mentioned in the introduction of this book; whoever does not know what we have said about anatomy, cannot be excused for falling into error which would result in many deaths. I have seen too many cases like this among those who were formed in this science and abandon their own field of knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because I have seen a doctor who became skilled in creating a syphilitic boil on the neck of a woman, and he incised some arteries in her neck causing much blood to flow that led the woman to die among them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who was about to perform an operation on a man whose body had been affected for quite some time, and the tumor was large. It spread to him and he used a piece of bladder tissue to remove that tumor; as a result, that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already attempted to remove it, and I see that due to the size of the tumor and the position of the patient beneath him, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who was receiving pay from a Duke of our land for surgery, and he attended to a black soldier whose leg had been broken; the surgeon, due to his ignorance, removed the fracture above the wound, covering it with powders and stitches on a hard structure, not leaving any air in the wound.
