Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, if I have completed this book for you, which is the last of the science of medicine, through its completion in it, and through its expositions and declarations, from my point of view, you will complete that to you with this treatise, which is the part of the operation by hand, and that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation by hand is neglected in our region and in our time it is deprived of all, while greatly risking the science of it, and its practices are obscured; and nothing remains of it except a few small descriptions in the books of the Ancients, which they distorted and led to errors, and confused the senses of it, and elongated its force and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is clear to me that you will enliven that through the ordering of this treatise according to the second way of exposition and declaration and abbreviation; and so that it may come with the forms of the tools of cautery and of other instruments of the work as it should be for addition through declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why no good artificer is approved by his hand in our time, is because the art of medicine is long, and that its agent must first be exercised in the science of anatomy which recognizes the parts of members and their forms, and their conjunction and separation; and have the knowledge of bones, nerves, and vessels, and the number of these, and their issue; and of the pulsating veins and of the quiet ones, and the places of their issuing.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that Hyporcas says that although his name is great, in practice it is small, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said of that in the introduction to this book; because whoever is not learned in what we have said of anatomy, is not evacuated so as not to fall into error through which men will die, just as I have seen many of those, because some are formed in this science and they throw themselves away from it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because I saw a foolish and experienced doctor who made an incision on a goiter on the neck of a woman, and he cut some arteries in the neck so that much blood flowed and the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took a stone from a man's gallbladder, and the stone was large, and he took it out with a piece of the bladder, and that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called to him to stop that, and I saw that through the size of the stone and the disposition of the patient over him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received wages from a duke of our land for surgery, and he cured a black slave whose leg was fractured; and through the ignorance of the doctor, he removed the fracture over the wound with powders and splints with strong compression, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he bound it according to his desires, and he relined it, and he left it for several days, and he commanded that we should not loose the bandage; and so it was as the leg and the thigh became infected with an ulcer, and it came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to loose the bandage, and I found rest and ease of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But nevertheless corruption was confirmed in the member, so that I could not restrain it, and the corruption did not cease to wander through the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous ulcer, and it was open for some days, so that the evil of it increased through its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the rotten ulcer is pure of melancholic humour, then it does not reach him by iron or anything else, but that it be in a member that suffers so as to be hostile to it.
