Praefatio.	Here is the translation:
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed the book for you, my sons, this one which is the last in the science of medicine with its complement, and I have reached the end of it from its explanations and its declarations, it seemed to me that I should complete it for you with this Treatise which is part of an operation, namely, surgery with hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with hand is laid to waste in our region and at our time, entirely private: until perhaps the knowledge of it has perished, and its trail has been severed: and there remain from it only small descriptions in the books of the ancients, which hands have altered: and an error and hesitation occurred, until its intentions were sealed, and its force was loosened. It seemed to me that I should revitalize it with the arrangement of this Treatise in accordance with the way of position, declaration, and abridgment: and to come with the forms of iron instruments of Cautery, and other tools of work: when it is done with the addition of declaration, and its necessity requires.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a skilled craftsman of this sort is not found with his own hand in our present time is: because the art of medicine is long, and it is necessary for its author to have been trained beforehand in the science of anatomy, as Galenus described, until he knows the benefits of members, and their forms, and their connections, and separations, and has knowledge of bones, nerves, tendons, and their numbers, and their exits, and the courses of arteries, and quiet ones, and places of exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And for that reason, Hippocrates said that a name with a name is much, but with work it is little, and especially in the art of hands.
Nos uero iam diximus de illo in introitu huius libri.	But we have already spoken about him at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For one who is not knowledgeable about what we have said about anatomy will not be corrected, and will already fall into error, by which men are killed; just as I have seen many of those who claim to know this science, but boast about it without knowledge, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened was that I saw a foolish doctor cut open a scrofulous abscess on a woman's neck and cut some arteries in the neck. Therefore, the woman's blood flowed until she fell dead between his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who presumed to remove a stone from an old man who had grown old, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he came to him and removed it with a piece of bladder.
Quare mortuus est uir in tertio die.	Wherefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I myself had been called to remove it: and I saw from the magnitude of the stone and the condition of the sick man that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who was receiving pay from a certain Duke of our land on account of his medicine: and it happened to a black eunuch who was with him that he got a fracture in his leg near the heel: and the doctor hastened with his ignorance, and tightened the fracture over the wound with poultices, and splints, and strong bandages, and did not permit the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he dismissed him according to his own desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he dismissed him after a few days and ordered him not to loosen the bandage: and so it stood until his leg and foot became gangrenous and he came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was therefore called to him: and I hastened to loosen the bandage: and it followed that there was quietness, and he was delivered from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, corruption had already been confirmed in the member, and I could not stop it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Then the corruption ceased to spread in the member until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who pierced a cancerous abscess: and it ulcerated after days, until the evil of his deed was greatly increased with his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	What is this, because when a pure cancer comes from melancholic humor, then it should not be cut with iron at all, unless it is in a limb that can tolerate it, so that the whole of it may be removed.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And therefore, oh sons, it is necessary for you to know that the operation is divided into two divisions by hand: namely, an operation associated with salvation, and an operation with which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have now stirred up fear and trembling in every place of this book, where the operation is, which is full of terror.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of that and let it go: so that foolish people may not find the way to speak and be ashamed.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore receive the measure with solicitude and protection, and heal your infirm ones with facility and firmness, and use the better way leading to salvation and a praiseworthy succession by God's gracious favor: and dismiss terrible pains of difficult healing: and lift up your souls from that which makes you afraid, so that hesitation may enter upon you in your faith and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining for your glory, and higher in this world, and ultimately for your account.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said in some of his exhortations.
Non medicetis aegritudinem malam: ne nominemini medici mali.	You will not heal bad illness: lest you be called evil doctors.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	However, I have now divided this Treatise into three Chapters.
Capitulum primum.	Chapter One.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	On cauterization with fire and cauterization with sharp medicine, distributed and ordered from head to feet, and the forms of instruments and iron tools of the cauterizer: and everything that is necessary for the operation.
Capitulum secundum.	Chapter Two.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On section and perforation, bloodletting and wound-cleaning, and wounds: and the extraction of arrows, and similar things to these: and all this chapter, distributed in forms of instruments.
Capitulum tertium.	Chapter Three.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration, and setting, and curing of twistedness, and similar things to these: chaptered, ordered from head to feet, and in forms of instruments.
Soli Deo Gloria.	To God alone be glory.
Liber Chirurgici Albucasis.	The book of surgery by Albucasis.
Pars I.	Part one.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On the use and harm of cauterization: to which complexions it is suitable, and at what time; and whether with iron or gold.
Caput I.	Chapter one.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I recall the operation with him, it is necessary for me to say what kind of benefits and harm it has, and in which complexion it should be shown.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore that the speech about the quality of the benefits and harm of cauterization is a long and subtle discourse, a science, and a hidden and occult secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	And many wise men have spoken about it, and they disagreed on this point; and for my part, I am satisfied with a little of their words, fearing length.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore that cauterization agrees with every complexion that is with matter and without matter, except for two complexions which are the hot complexion without matter and the dry complexion without matter.
In complexione autem calida et sicca cum materia dissenserunt.	But they disagreed in a hot and dry complexion with matter.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	For some said that cauterization is beneficial in it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite of that, namely that cauterization is not suitable in a disease which is due to heat and dryness: because fire's nature is heat; and it is unsuitable for someone to be healed from a hot and dry disease with something hot and dry.
