Praefatio.	Here is the translation:
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After completing this book for you, my sons, and finishing the last part of the science of medicine with its completion, and following its explanations and declarations, it seemed to me that I should complete it for you with this Treatise which is a part of operation, namely surgery with hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Because the operation with hand is lying prostrate in our region and time, and entirely private until perhaps it will perish along with its knowledge, and the track of it will be cut off: and there are left from it only small descriptions in ancient books which have been altered by hands: and errors and hesitation occur to them until their intentions are closed and the power of it is gone. It seemed to me that I should bring it back to life with the arrangement of this Treatise in accordance with the method of position, declaration, and abbreviation: and that I may come along with the forms of iron instruments Cauterii and other tools of the work: when it happens through the addition of declaration and due proportion which is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	But the reason why a good craftsman of that kind is not found with his own hand in our present time is: because the art of medicine is long and requires its author to be exercised beforehand in the science of anatomy, as Galenus narrated, until he knows the benefits of members, and their forms, and their connection, and separation, and has knowledge of bones, nerves, tendons, and their number, and their exit and return, and the pulsating and quiet veins, and the exit places of those.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And on account of that, Hippocrates said that a name with a name is much, and with work it is little, and especially in the art of hands.
Nos uero iam diximus de illo in introitu huius libri.	But we have already spoken about him at the introduction to this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Because whoever is not knowing what we have said about anatomy does not escape, but rather falls into error, by which people are killed: just as I have seen many of those who claim to be knowledgeable in this science, and boast about it without knowledge, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened was that I saw a stupid doctor cut open a scrofulous abscess on a woman's neck and lacerate some arteries in her neck. Therefore the woman's blood flowed until she fell dead under his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who presumed to remove a stone from an old man's bladder, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He therefore came to him and removed it with a piece of bladder.
Quare mortuus est uir in tertio die.	Therefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I myself had already been called to remove it; and I saw from the size of the stone and the condition of the patient that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who was receiving payment from a certain Duke of our land in exchange for his medicine; and it happened to the black eunuch who was with him that he broke his leg near the heel. And the doctor hastened with his ignorance, and bound the fracture over the wound with poultices, and bandages tightly tightened, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he discharged him according to his own desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	After that he let him go after a few days and ordered him not to loosen the bandage; and it stood thus until his leg and foot became gangrened and he came to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was therefore called to him; and I hastened to loosen the bandage; and as a result there was calmness, and he was delivered from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, corruption had already set in on the member; and I could not prevent it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So the corruption ceased to spread through the member until it died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who pierced a cancerous abscess; and it ulcerated after some days until its evil quality was greatly magnified with his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	What is this? Because when the cancer is pure from melancholic humor, then it should not be approached at all with iron, unless it is in a member that can tolerate it, so that the whole of it may be cut off.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And therefore, oh sons, it is necessary for you to know that the operation is divided into two divisions with hand: namely, an operation which is accompanied by salvation, and an operation where there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already stirred up everywhere in this book, where the operation comes, in which there is fear and trembling.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of this and leave it alone, lest foolish people find a way to speak and be ashamed.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore take measurement with solicitude and protection, and treat your weak patients with ease and firmness, and use the better way leading to salvation and praiseworthy succession through the grace of God; and leave off dreadful griefs difficult to cure: and lift up your souls from that which makes you fear, so that hesitation may enter upon you in your faith and advantage.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining for your glory, and higher in this world, and finally to your possessions.
Galenus enim iam dixit in quibusdam suis admonitionibus.	Galenus indeed said in some of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	You will not heal bad illness: lest you be called evil doctors.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	However, I have now divided this Treatise into three Chapters.
Capitulum primum.	First Chapter.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Concerning cauterization with fire and cauterization with sharp medicine, divided and arranged from head to feet, and the forms of instruments and tools of cauterization, and all that is necessary for the operation.
Capitulum secundum.	Second Chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Concerning section and perforation, bleeding and ventosities, wounds: and extracting arrows and similar ones: and the whole chapter, arranged in forms of instruments.
Capitulum tertium.	Third Chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	Concerning restoration, and dislocation, and cure of twisting, and similar ones: chaptered, arranged from head to feet, and in forms of instruments.
Soli Deo Gloria.	To God alone be the glory.
Liber Chirurgici Albucasis.	The Book of Surgery by Albucasis.
Pars I.	Part One.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Chapter on the Use and Harm of Cautery: and to which complexions it is suitable, and at what time; and whether with iron or gold.
Caput I.	Chapter One.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before that, I must first recall the nature of its usefulness and harm, and in which complexion it is exhibited.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore, that the discourse on the quality of the usefulness and harm of Cautery is a lengthy and subtle one, requiring knowledge and hidden secrets.
