Ayssi comensan las paraulas de Albucasim .	Aysa learns the words of Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, as you have completed this book, which is the last one of the medical science series, to congraturate your achievement and for the insights you have gained from it, I think that you should pass on this treatise to me, which is a section of the work my father wrote, called surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The work of this field has been largely absent in our realm and times, completely unexplored until now; only small descriptions of it can be found in the works of the ancients, which have often transformed into more errors and superstitions over time, thus closing off its essence and prolonging ignorance about it.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems to me that you need to revive this ordinance of the treatise according to the way of exposing and declaring and abbreviating it; so that it may come in form with the tools of carpentry and other instruments of work, through the addition of declaration and preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In the case for which it is not atrocious to be an artist in our present time, art of medicine is lengthy, and its actor must be practiced in the science of anatomy, which Galen tells us that he knew the movements of limbs, their shapes; and joints and dislocations; also had knowledge of bones, nerves, and ligaments, along with their names, and nature. Also about veins pulsatile and quiet ones, and the places of blood flow in them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	In the words of Hippocrates - "Aqua vitae," which is Latin for "water of life", plays an important role in my name too and mostly in the work of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the introduction to this book, we have said about that in anatomy; those who are not knowledgeable of it may easily fall into error and cause deaths among people, just as I have seen many times with individuals who have been trained in this science but forget or misinterpret their teachings.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a medieval doctor who had contracted an abscess of the groin from a woman, and he caused some arteries in the man's groin to bleed profusely, resulting in the woman dying shortly after.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	In another village, there was a miller who dared to stone a man in his prime, and the stone was large; he lifted it and threw it at that man'n head, so that on the third day, the man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	In that moment I realized the enormity of the stone and the condition of the illness; it came to me suddenly that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A certain surgeon from our land received a stipend of one duke for surgery; and as he approached a black casket, which was his fracture case during the process, the surgeon neglected its ignorance, extracted the fracture upon the pillow, using pulleys and levers with great force, but failed to secure it properly.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	"Lead us according to your will and guidance, O Lord our God. Teach us the discipline of days without end and command us to remain faithful; so that in the fullness of time and through Your providence we may come to salvation."
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you also seek refuge in prayer, and as you unravel the fabric of your worries, you find solace, tranquility, and relief from your pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the disease was already established in the member, so that he could not prevent the spread of that contamination and it continued to wander within the part afflicted with the bad ailment.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A certain physician managed to cure an abscess caused by cancerous growths; it became inflamed and ulcerated near the glans penis after a few days, resulting in severe illness of his lordship.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason he seems to have such a melancholamoine spirit is not because I want to achieve the greatest happiness for everyone, but that he should be part of those who are deeply hurt by everything being lost.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	EPA's work is divided into two main areas: one related to health and the other involving risk in major hazardous situations.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	The year of our Lord has brought forth this written work within which I encounter errors and fear; hence it is necessary for you to guard what I say and lay aside that which may lead the simple-minded astray in speech or dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore, take your worries to the Lord and entrust yourself to Him; seek His protection, and may good health be upon you and those under your care.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	We pray for the best way granted by God's grace to be restored in salvation and praise-worthy success; we remove all terrible diseases difficult to heal, and take away your fear of water that you may dwell with confidence in faith and through Your Name, so it does not abandon You. For more remains for your glory, both in heaven and at the end in the sanctity of Your presence.
Gualia ja diyssec en alcunas sieuas monicios:	I. Introduction to Galician culture and language:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"No medical malpractice allowed; therefore you are not responsible for any food-related issues."
E yeu ja he devesit aquest libre segontz tres capitols.	Chapter One: The Quest Begins
Comensa la divisio del libre, e primier de la primieyra partida.	Beginning with the division of liberty and its first partition in history.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first organized capital of the Cap-Haïtien province in Haiti consists of medical instruments and their cases as well as supplies that are essential for surgical operations.
La divisio de la segonda partida.	The division of the second portion.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	Chapter II: Second Procedures and Treatments - Cupping, Bleeding, Leeching, Wound Extraction, and Similitudes of these methods according to their forms. This chapter encompasses the rules and regulations regarding various traditional treatments such as cupping, bleeding (phlebotomy), leech therapy, wound extraction using needles, and comparisons among them based on their respective techniques.
