Ayssi comensan las paraulas de Albucasim .	Aysa learns words from Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, as you have completed this book, which is the last of the medical science series, in honor of your achievement and for the insights provided within it, I believe that we should present to you this treatise, which is a part of my work on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The work of which you speak was once completely erased from our realm and time, being totally deprived of it; only a few small descriptions remain in the ancient books, which have since become distorted by errors and heresies, to such an extent that its essence has been obscured and its art forgotten.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I understand that you wish to revive this treatise in the way of exposition and declaration and abbreviation; so it comes to using tools for engraving and other instruments of work as required by the explanation, with necessary preparation being essential.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In the cause for which art is not atrophyed by a craftsman in this our time, it'n because the art of medicine is long and its practitioner must be exercised in the science of anatomy, as Guaia stated that he knew the movements of members and their forms; connections and separations among them; knowledge of bones, nerves, and ligaments, names of those parts, and strength of each; veins pulsing and at rest, and places where blood flows.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	The phrase "E per aigua dix Ypocras que amb el seu nom estem motos, mais en l'obra petit, i majorment en l'art de la mà" in Catalan translates to "And for water said Hippocrates that with his name we are alive, but mainly in the work small, and mostly in the art of the hand" in English.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the introduction to this book, we have said that if one does not know what has been told about anatomy herein, they will fall into error which may cause many people's death; as I have seen too often, for such are formed in this science and take themselves to be of it through their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I once saw a physician who had contracted an abscess of the scrotum and caused some arteries in the neck to bleed, which led to a large amount of blood flowing into the woman'ebay chest, causing her to die among many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	A certain merchant who was more virtuous than the traitor took a stone from a man he had accused in his state; and the stone was large, and he threw it to the left of the road, so that this man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	The stone that lies outside has such enormous size and due to the illness I know it will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A physician from our land received a salary of a duke for surgery and treated an old black man who had a fracture in his leg; the doctor made use of his ignorance, extracting the fracture on top of the pillow, with cushions and splints using strong pressure, without healing the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Above all things be faithful to your desires, and loyalty as well, and take care during the uncertain times of life; I command you not to flee from the challenge but to embrace it so that even if adversity strikeback with full force, we shall overcome.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	Once upon a time, there was a young woman who felt the need to escape from her life and find inner peace and relief from her troubles. She decided to embark on a journey of self-discovery that would eventually help her overcome these challenges.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the infection was already confirmed within the member, so it could not prevent that and did not cease to wander the infection within which the illness posed a threat.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A certain physician successfully treated an abscess with cancerous growths, which became ulcerated after several days; during this time the malevolence of his lord increased greatly.
