Praefatio.	Prologue.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I completed for you, O Son, this book which is the last of medical knowledge with its supplement, and I reached its end through its explanations and clarifications, it seemed fitting to me to complete it for you with this Treatise which is a part of practice, that is surgery, by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since manual operation has been prostrated in our region and time, and has altogether been deprived until its knowledge may have perished, and its trace been cut off, and nothing remains of it but small descriptions in ancient books which were altered by hands, and error and hesitation occurred to them until their intentions were closed, and its way was lengthened, it seemed fitting to me to revive it with the arrangement of this Treatise therein according to the way of explanation, clarification, and abbreviation: and that I may come with forms of instruments for cautery, and other tools of operation, through addition of clarifications and expediting what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why no good artisan of it with his own hand is found in our time is because the art of medicine is long, and its author must exercise himself beforehand therein in the science of anatomy which Galen narrated until he knows the joints of members, their forms, their connection and separation, and has knowledge of bones, nerves, sinews, their number and course, and pulsating veins and quiet ones, and their outlets.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of this Hippocrates said that 'a name with a name is much, but with work it is little, especially in the art of hand.'
Nos uero iam diximus de illo in introitu huius libri.	But we have already spoken about him at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	Since whoever is not knowing what we have said about anatomy will certainly fall into error whereby people are killed, as I have seen many of those who claim to be formed in this knowledge and boast about it without knowledge and experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	That is because I saw a foolish physician cut open an abscess on the neck of a woman and sever certain arteries in her neck: wherefore blood flowed from the woman until she fell dead in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who presumed to remove a stone from a man who had grown old with it, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He went forth therefore unto him, and drew out the stone together with part of the bladder.
Quare mortuus est uir in tertio die.	Wherefore the man died on the third day.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	But I myself had already been called unto to remove it, and I saw that because of the size of the stone and the condition of the sick man, he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician who received payment from a certain Duke of our land because of his medicine: and it happened that there was a fracture in the leg of a black eunuch who was with him near the heel. And the physician hastened with his ignorance, and bound the fracture over the wound with bandages and strong ligatures without allowing the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he dismissed him according to his desire.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he let him go for some days and ordered him not to loose the bandage: and so it remained until his leg and foot became gangrenous and were destroyed.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was therefore called unto him, and hastened to loose the bandage: and quietness followed, and he escaped from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the gangrene had already become confirmed in the member, and I could not check it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So therefore the corruption spread throughout the member until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician who punctured a cancerous abscess, and it became ulcerated afterwards, until its wickedness grew great with its owner.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	This is because when an abscess is pure from black bile humor, then it should not be pierced with iron at all unless it is on a member that can tolerate it being completely cut off.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And therefore, O Son, it is necessary for you to know that an operation with the hand is divided into two divisions: namely, an operation associated with health, and an operation with which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already indicated in every place of this book where an operation comes that causes fear and dread.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of this and avoid it: so that fools may not find a way to speak about it and bring dishonor upon it.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore take measure with care and protection, and your patients with ease and steadfastness. Use the better path leading by God's grace to health and praiseworthy success. Leave behind terrible illnesses that are difficult to cure, and free yourselves from that which causes you fear, lest doubt should enter upon your faith and comfort.
