Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, my children, now I have completed this book for you, which is the last of the medical sciences. By its completion, by what it contains, and by its exposition and clarification, in my view I have explained to those who love me this treatise, which is part of what I do with my hands, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgical practice has been completely abandoned in our region and in our time, except that the science of it is rare, and its remnants remain; and there are no descriptions of it other than small ones in the books of the Ancients, which have altered much of what they contain, leading to errors and hesitation, because they obscure the intentions of surgery and weaken its power and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive this treatise according to the order of exposition, explanation, and abbreviation; and so that it may come with the forms of cautery tools and other instruments for the work as it is through the addition of explanations, and their preparation, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why a good craftsman is not found in our time in this field of surgery is that medical science is extensive, and it requires the practitioner to be well-versed in anatomy, which involves knowing the functions of the members and their forms, as well as their conjunctions and separations; and to have knowledge of bones, nerves, and muscles, along with their numbers and distribution; and of pulsating veins and static veins, and the locations for dissecting them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates said that in name there is much, but in the work there is little, especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	This may we have said already at the beginning of this book; for whoever is not aware of what we have said about anatomy cannot be exempt from falling into error through which men are rendered dead, as I have seen too many of them, for some are formed in this science and throw themselves into it without that knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a mad physician who had incised an abscess in the neck of a woman and cut some arteries of the neck, so that much blood flowed out causing the woman to die immediately.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who thought he would remove a stone from a man who was ill in his state, and the stone was large, and when he came to him he extracted that stone along with a piece of the bladder, so that on the third day that man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already realized that it was impossible to remove that stone, and I saw that because of the size of the stone and the condition of the patient, I knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who was receiving payment from a duke of our land to perform surgery, and he attended to a black castrated man who had a fracture in his skull; due to the physician's ignorance, he exposed the fracture over the wound with bandages and strong binding, but did not leave room for drainage.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And shortly after he loosened it according to his desires, and then he dressed it again, and afterwards he left it like that for several days and commanded us to remove the bandage; and thus it remained until the skull and the bone became abscessed, leading to his ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	Thus he calls to him, and prepares to loosen the ligature, and having obtained calm he begins to relieve his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But when corruption was confirmed in the limb, so that it could not be restrained, and the corruption continued to spread throughout the limb until danger threatened the patient.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another surgeon who punctured a cancerous abscess, and it became ulcerated near the thighs, until the malignancy spread throughout the body of his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that cancerous tumors are free of melancholic humor; therefore, it does not need to affect the whole body, but rather can be in a limb which suffers from being fully affected.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my children, it is necessary for you that the operation be planned in two aspects: one is an operation associated with health, and the other is work in which there is risk even under the best conditions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already expressed this in every part of this book where an operation involves both error and fear; therefore, it is necessary for you to heed this and avoid that, so that your hands do not find a way to speak against you and dishonor you.
